(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2      10.50      10.50    10.00    11.00
ADDI                65570       2.58       2.00     1.00    10.00
AUIPC               78363       6.09       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                   273       9.31       9.00     4.00    18.00
CSRRS                   9       7.33       6.00     4.00    16.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.98       1.00     0.00    20.00
JALR                   12       3.00       2.00     1.00    11.00
JOIN                12820       8.53       7.00     2.00    17.00
LUI                  8705       5.59       8.00     1.00    15.00
LW                   8730     250.48     207.00     4.00  1930.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC              78358       6.31       6.00     3.00    11.00
SW                     13      62.08       5.00     4.00   679.00
VADD12_VI           69904      10.46      13.00     1.00    20.00
VADD_VI             65536       3.71       3.00     1.00    16.00
VADD_VX             78086      21.74      10.00     1.00  2095.00
VAND_VV              8448      12.45      13.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.77      12.00     1.00    15.00
VID_V                   2       6.00       6.00     6.00     6.00
VLW12_V            139264      18.55       5.00     1.00  1882.00
VLW_V                   1       7.00       7.00     7.00     7.00
VMADD_VX             4096      11.22      11.00    11.00    13.00
VMSLT_VX            16896      11.69      10.50     1.00    30.00
VMUL_VX                32       6.22       6.50     2.00    12.00
VREMU_VX                2       6.00       6.00     2.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              8452       8.20       8.00     5.00    18.00
VSW12_V              8448       5.09       5.00     4.00     7.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     258.71     215.00     1.00  1940.00
SETRPC              78358       1.91       2.00     1.00     5.00
VLW12_V            139264      15.56       2.00     1.00  1884.00
VLW_V                   1    2806.00    2806.00  2806.00  2806.00

