(base) PS E:\log> python calc_cpi_with_epsilon.py 512512512.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX      VAR_CPI
ADD                     2      10.50      10.50    10.00    11.00       0.5000
ADDI               524322       2.55       2.00     1.00    14.00       1.4444
AUIPC              624683       5.86       2.00     1.00   182.00      67.7219
BEQ                     1       6.00       6.00     6.00     6.00       0.0000
BGE                  1057       9.19       9.00     4.00    18.00       1.4955
CSRRS                   9      90.78       6.00     4.00   754.00   61891.6944
CSRRW                   1       5.00       5.00     5.00     5.00       0.0000
JAL               1186008       5.94       1.00     0.00    44.00      29.7409
JALR                   12       3.42       2.50     1.00    11.00       9.5379
JOIN               100388       8.67       7.00     2.00    17.00      14.2768
LUI                 67585       5.26       8.00     1.00    15.00      16.2796
LW                  67610     254.22     204.00     2.00  1892.00   43073.9075
MUL                     3       9.00       9.00     8.00    10.00       1.0000
SETRPC             624678       6.35       6.00     3.00    11.00       2.5852
SW                     13      25.08       4.00     2.00   168.00    2448.9103
VADD12_VI          558112      10.73      13.00     1.00    19.00      25.9613
VADD_VI            524288       3.53       3.00     1.00    16.00      10.7577
VADD_VV            624675       5.37       5.00     2.00    19.00       4.3755
VADD_VX            623622      19.84      11.00     1.00  1792.00    2985.3002
VAND_VV             66560      12.57      13.00     1.00    15.00       3.1286
VDIVU_VX                1       9.00       9.00     9.00     9.00       0.0000
VFMADD_VV          524288      10.98      12.00     1.00    15.00      11.0232
VID_V                   2       6.50       6.50     5.00     8.00       4.5000
VLW12_V           1114112      17.24       5.00     1.00  1859.00    4302.6773
VLW_V                   1      10.00      10.00    10.00    10.00       0.0000
VMADD_VX            32768      11.12      11.00    11.00    13.00       0.1108
VMSLT_VX           133120      11.87      10.50     1.00    30.00      77.3790
VMUL_VX                64       7.00       6.50     3.00    12.00       9.5238
VREMU_VX                2       9.00       9.00     8.00    10.00       2.0000
VSETVLI                 1       6.00       6.00     6.00     6.00       0.0000
VSLL_VI             66564       8.07       8.00     4.00    10.00       0.0623
VSW12_V             66560       5.11       5.00     4.00     7.00       0.1067
VSW_V                   1      12.00      12.00    12.00    12.00       0.0000

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX      VAR_LAT
CSRRS                   9       1.44       1.00     1.00     2.00       0.2778
CSRRW                   1       1.00       1.00     1.00     1.00       0.0000
LW                  67610     262.51     212.00     1.00  1900.00   43007.2934
SETRPC             624678       1.90       2.00     1.00     6.00       1.2163
VLW12_V           1114112      14.25       1.00     1.00  1863.00    4599.0292
VLW_V                   1    2870.00    2870.00  2870.00  2870.00       0.0000
