(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 0   
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2      10.50      10.50    10.00    11.00
ADDI                 1058       2.65       2.00     1.00    10.00
AUIPC                1263       6.10       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.76       9.00     4.00    17.00
CSRRS                   9       7.33       6.00     4.00    16.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.89       1.00     0.00    20.00
JALR                   12       2.92       2.00     1.00    10.00
JOIN                  232       7.95       6.00     3.00    17.00
LUI                   161       7.04       8.00     1.00    15.00
LW                    186     233.98     152.00     4.00  1487.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC               1258       6.28       6.00     3.00    11.00
SW                     13      62.08       5.00     4.00   679.00
VADD12_VI            1108      10.64      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VX              1238      28.66      11.00     1.00   781.00
VAND_VV               144      11.75      11.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       6.00       6.00     6.00     6.00
VLW12_V              2176      23.60       5.00     1.00  2053.00
VLW_V                   1       7.00       7.00     7.00     7.00
VMADD_VX               64      11.05      11.00    11.00    12.00
VMSLT_VX              288      10.66      10.50     1.00    30.00
VMUL_VX                 8       7.12       6.50     2.00    12.00
VREMU_VX                2       6.00       6.00     2.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI               148       8.13       8.00     5.00    18.00
VSW12_V               144       5.13       5.00     5.00     6.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     244.48     163.00     1.00  1496.00
SETRPC               1258       1.88       2.00     1.00     5.00
VLW12_V              2176      20.60       1.00     1.00  2068.00
VLW_V                   1    2806.00    2806.00  2806.00  2806.00
(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 1
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2      10.50      10.50    10.00    11.00
ADDI                 1058       2.65       2.00     1.00    10.00
AUIPC                1263       6.17       2.00     1.00   185.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.33       9.00     3.00    18.00
CSRRS                   9       6.56       6.00     4.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.87       1.00     0.00    20.00
JALR                   12       2.75       2.00     1.00    11.00
JOIN                  232       7.91       6.00     2.00    17.00
LUI                   161       6.44       8.00     1.00    15.00
LW                    186     243.38     195.00     2.00  1520.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               1258       6.32       6.00     3.00    11.00
SW                     13      10.77       4.00     4.00    53.00
VADD12_VI            1108      10.60      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VX              1238      27.65      11.00     7.00   781.00
VAND_VV               144      11.44      11.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       4.50       4.50     3.00     6.00
VLW12_V              2176      23.66       5.00     1.00  1813.00
VLW_V                   1      10.00      10.00    10.00    10.00
VMADD_VX               64      11.11      11.00    11.00    12.00
VMSLT_VX              288      11.11      10.50     1.00    30.00
VMUL_VX                 8       6.00       6.00     3.00     9.00
VREMU_VX                2       9.00       9.00     9.00     9.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI               148       8.12       8.00     4.00    12.00
VSW12_V               144       5.06       5.00     4.00     6.00
VSW_V                   1     111.00     111.00   111.00   111.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.67       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     253.89     236.50     1.00  1528.00
SETRPC               1258       1.91       2.00     1.00     5.00
VLW12_V              2176      20.66       1.00     1.00  1828.00
VLW_V                   1    2725.00    2725.00  2725.00  2725.00
(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 2
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.00       6.00     6.00     6.00
ADDI                 1058       2.77       2.00     1.00   136.00
AUIPC                1263       6.01       2.00     1.00    61.00
BEQ                     1       7.00       7.00     7.00     7.00
BGE                    21       9.19       9.00     2.00    14.00
CSRRS                   9       5.89       5.00     3.00     9.00
CSRRW                   1       8.00       8.00     8.00     8.00
JAL                  2448       5.87       1.00     0.00    20.00
JALR                   12       3.00       1.50     1.00    13.00
JOIN                  232       7.88       6.00     2.00    17.00
LUI                   161       6.43       8.00     1.00    15.00
LW                    186     235.88     198.50     2.00  1305.00
MUL                     3       9.33      10.00     8.00    10.00
SETRPC               1258       6.32       6.00     3.00    11.00
SW                     13      41.85       4.00     4.00   307.00
VADD12_VI            1108      10.60      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.61       5.00     2.00   104.00
VADD_VX              1238      28.23      11.00     8.00   958.00
VAND_VV               144      11.42      11.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V              2176      23.77       5.00     1.00  1831.00
VLW_V                   1     132.00     132.00   132.00   132.00
VMADD_VX               64      11.11      11.00    11.00    12.00
VMSLT_VX              288      11.11      11.00     1.00    30.00
VMUL_VX                 8       6.00       6.00     4.00     8.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       7.00       7.00     7.00     7.00
VSLL_VI               148       8.12       8.00     2.00    11.00
VSW12_V               144       5.06       5.00     4.00     6.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     249.80     223.00     1.00  1314.00
SETRPC               1258       1.92       2.00     1.00     5.00
VLW12_V              2176      20.78       1.00     1.00  1846.00
VLW_V                   1    2647.00    2647.00  2647.00  2647.00

(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 3
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.00       6.00     6.00     6.00
ADDI                 1058       2.69       2.00     1.00    39.00
AUIPC                1263       5.95       2.00     1.00    61.00
BEQ                     1       7.00       7.00     7.00     7.00
BGE                    21       9.52       9.00     4.00    17.00
CSRRS                   9       6.33       6.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.88       1.00     0.00    20.00
JALR                   12       2.67       1.50     1.00    11.00
JOIN                  232       7.93       6.00     3.00    17.00
LUI                   161       7.06       8.00     1.00    15.00
LW                    186     234.09     158.00     4.00  1322.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               1258       6.28       6.00     3.00    11.00
SW                     13      99.31       4.00     4.00   624.00
VADD12_VI            1108      10.64      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.59       5.00     2.00    19.00
VADD_VX              1238      28.50      11.00     8.00   781.00
VAND_VV               144      11.75      11.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       7.50       7.50     5.00    10.00
VLW12_V              2176      23.31       5.00     1.00  1865.00
VLW_V                   1     413.00     413.00   413.00   413.00
VMADD_VX               64      11.06      11.00    11.00    12.00
VMSLT_VX              288      10.66      10.50     1.00    30.00
VMUL_VX                 8       6.88       6.50     4.00    12.00
VREMU_VX                2      71.00      71.00     1.00   141.00
VSETVLI                 1       7.00       7.00     7.00     7.00
VSLL_VI               148       8.06       8.00     4.00    10.00
VSW12_V               144       5.12       5.00     5.00     6.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     243.67     166.00     1.00  1331.00
SETRPC               1258       1.88       2.00     1.00     5.00
VLW12_V              2176      20.31       1.00     1.00  1881.00
VLW_V                   1    3523.00    3523.00  3523.00  3523.00

(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 4
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                 1058       2.67       2.00     1.00    13.00
AUIPC                1263       6.23       2.00     1.00   344.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.38       9.00     3.00    15.00
CSRRS                   9      28.11       5.00     4.00   132.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.89       1.00     0.00    20.00
JALR                   12       3.00       1.50     1.00    11.00
JOIN                  232       7.93       6.00     3.00    17.00
LUI                   161       7.04       8.00     1.00    15.00
LW                    186     232.97     154.00     2.00  1503.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC               1258       6.28       6.00     3.00    11.00
SW                     13      63.38       4.00     4.00   662.00
VADD12_VI            1108      10.64      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.58       5.00     2.00    19.00
VADD_VX              1238      28.34      11.00     8.00   781.00
VAND_VV               144      11.71      11.00     7.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       6.00       6.00     5.00     7.00
VLW12_V              2176      23.65       5.00     1.00  2010.00
VLW_V                   1     114.00     114.00   114.00   114.00
VMADD_VX               64      11.06      11.00    11.00    12.00
VMSLT_VX              288      10.74      10.50     1.00    30.00
VMUL_VX                 8       6.25       6.00     3.00    10.00
VREMU_VX                2       9.00       9.00     8.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI               148       8.10       8.00     4.00    12.00
VSW12_V               144       5.12       5.00     5.00     6.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.33       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     244.22     164.50     1.00  1512.00
SETRPC               1258       1.88       2.00     1.00     5.00
VLW12_V              2176      20.65       1.00     1.00  2029.00
VLW_V                   1    3019.00    3019.00  3019.00  3019.00

(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 5
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                 1058       2.67       2.00     1.00    11.00
AUIPC                1263       6.16       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.24       9.00     3.00    14.00
CSRRS                   9       6.22       5.00     4.00    10.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.87       1.00     0.00    20.00
JALR                   12       2.75       1.00     1.00    13.00
JOIN                  232       7.90       6.00     2.00    17.00
LUI                   161       6.39       8.00     1.00    15.00
LW                    186     237.87     215.00     1.00  1469.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC               1258       6.33       6.00     3.00    11.00
SW                     13      16.15       4.00     4.00   159.00
VADD12_VI            1108      10.60      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.54       5.00     2.00    18.00
VADD_VX              1238      27.84      11.00     1.00   802.00
VAND_VV               144      11.43      11.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       5.00       5.00     4.00     6.00
VLW12_V              2176      24.00       5.00     1.00  1649.00
VLW_V                   1      11.00      11.00    11.00    11.00
VMADD_VX               64      11.14      11.00    11.00    12.00
VMSLT_VX              288      11.10      10.50     1.00    30.00
VMUL_VX                 8       6.00       6.00     4.00     8.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI               148       8.16       8.00     4.00    14.00
VSW12_V               144       5.07       5.00     4.00     6.00
VSW_V                   1     103.00     103.00   103.00   103.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     251.09     250.00     1.00  1479.00
SETRPC               1258       1.92       2.00     1.00     5.00
VLW12_V              2176      21.00       1.00     1.00  1651.00
VLW_V                   1    2863.00    2863.00  2863.00  2863.00

(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 6
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                 1058       2.66       2.00     1.00    10.00
AUIPC                1263       6.16       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.62       9.00     4.00    18.00
CSRRS                   9       6.11       5.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.88       1.00     0.00    20.00
JALR                   12       2.67       1.00     1.00    11.00
JOIN                  232       7.91       6.00     2.00    17.00
LUI                   161       6.40       8.00     1.00    15.00
LW                    186     247.78     228.50     2.00  1529.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               1258       6.32       6.00     3.00    11.00
SW                     13      14.92       4.00     4.00   143.00
VADD12_VI            1108      10.60      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.55       5.00     2.00    18.00
VADD_VX              1238      27.65      11.00     1.00   781.00
VAND_VV               144      11.42      11.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V              2176      23.25       5.00     1.00  1875.00
VLW_V                   1       9.00       9.00     9.00     9.00
VMADD_VX               64      11.14      11.00    11.00    12.00
VMSLT_VX              288      11.13      10.50     1.00    30.00
VMUL_VX                 8       6.12       6.50     3.00     9.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI               148       8.11       8.00     4.00    10.00
VSW12_V               144       5.06       5.00     4.00     6.00
VSW_V                   1     112.00     112.00   112.00   112.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     261.72     251.00     1.00  1537.00
SETRPC               1258       1.91       2.00     1.00     5.00
VLW12_V              2176      20.25       1.00     1.00  1894.00
VLW_V                   1    2584.00    2584.00  2584.00  2584.00

(base) PS E:\log> python calc_cpi.py 646464.log --ns-per-cycle 10 --sm 1 --warp 7
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                 1058       2.69       2.00     1.00    40.00
AUIPC                1263       6.11       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    21       9.57       9.00     4.00    15.00
CSRRS                   9      71.44       6.00     4.00   595.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                  2448       5.89       1.00     0.00    20.00
JALR                   12       3.00       2.00     1.00    11.00
JOIN                  232       7.93       6.00     3.00    17.00
LUI                   161       7.02       8.00     1.00    15.00
LW                    186     239.88     154.00     4.00  1532.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC               1258       6.29       6.00     3.00    11.00
SW                     13       8.08       4.00     4.00    36.00
VADD12_VI            1108      10.64      13.00     1.00    18.00
VADD_VI              1024       3.68       3.00     1.00    16.00
VADD_VV              1255       5.58       5.00     2.00    19.00
VADD_VX              1238      28.32      11.00     8.00   781.00
VAND_VV               144      11.76      11.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            1024      10.84      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V              2176      23.20       5.00     1.00  2007.00
VLW_V                   1     308.00     308.00   308.00   308.00
VMADD_VX               64      11.06      11.00    11.00    12.00
VMSLT_VX              288      10.72      10.50     1.00    30.00
VMUL_VX                 8       6.38       6.50     3.00    10.00
VREMU_VX                2       5.00       5.00     2.00     8.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI               148       8.07       8.00     4.00    10.00
VSW12_V               144       5.13       5.00     5.00     6.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.44       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                    186     248.91     163.00     1.00  1540.00
SETRPC               1258       1.88       2.00     1.00     5.00
VLW12_V              2176      20.20       1.00     1.00  2022.00
VLW_V                   1    3353.00    3353.00  3353.00  3353.00
