warp,target,count
0,0x800002ec,524288
1,0x800002ec,524288
2,0x800002ec,524288
3,0x800002ec,524288
4,0x800002ec,524288
5,0x800002ec,524288
6,0x800002ec,524288
7,0x800002ec,524288
0,0x8000022c,32768
0,0x8000025c,32768
0,0x800002a4,32768
0,0x800002cc,32768
1,0x8000022c,32768
1,0x8000025c,32768
1,0x800002a4,32768
1,0x800002cc,32768
2,0x8000022c,32768
2,0x8000025c,32768
2,0x800002a4,32768
2,0x800002cc,32768
3,0x8000022c,32768
3,0x8000025c,32768
3,0x800002a4,32768
3,0x800002cc,32768
4,0x8000022c,32768
4,0x8000025c,32768
4,0x800002a4,32768
4,0x800002cc,32768
5,0x8000022c,32768
5,0x8000025c,32768
5,0x800002a4,32768
5,0x800002cc,32768
6,0x8000022c,32768
6,0x8000025c,32768
6,0x800002a4,32768
6,0x800002cc,32768
7,0x8000022c,32768
7,0x8000025c,32768
7,0x800002a4,32768
7,0x800002cc,32768
0,0x800001dc,1024
0,0x800001f4,1024
0,0x80000208,1024
0,0x80000320,1024
1,0x800001dc,1024
1,0x800001f4,1024
1,0x80000208,1024
1,0x80000320,1024
2,0x800001dc,1024
2,0x800001f4,1024
2,0x80000208,1024
2,0x80000320,1024
3,0x800001dc,1024
3,0x800001f4,1024
3,0x80000208,1024
3,0x80000320,1024
4,0x800001dc,1024
4,0x800001f4,1024
4,0x80000208,1024
4,0x80000320,1024
5,0x800001dc,1024
5,0x800001f4,1024
5,0x80000208,1024
5,0x80000320,1024
6,0x800001dc,1024
6,0x800001f4,1024
6,0x80000208,1024
6,0x80000320,1024
7,0x800001dc,1024
7,0x800001f4,1024
7,0x80000208,1024
7,0x80000320,1024
0,0x8000018c,32
0,0x800001c0,32
1,0x8000018c,32
1,0x800001c0,32
2,0x8000018c,32
2,0x800001c0,32
3,0x8000018c,32
3,0x800001c0,32
4,0x8000018c,32
4,0x800001c0,32
5,0x8000018c,32
5,0x800001c0,32
6,0x8000018c,32
6,0x800001c0,32
7,0x8000018c,32
7,0x800001c0,32
0,0x80000184,31
1,0x80000184,31
2,0x80000184,31
3,0x80000184,31
4,0x80000184,31
5,0x80000184,31
6,0x80000184,31
7,0x80000184,31
0,0x8000034c,2
0,0x80000370,2
0,0x800003b4,2
1,0x8000034c,2
1,0x80000370,2
1,0x800003b4,2
2,0x8000034c,2
2,0x80000370,2
2,0x800003b4,2
3,0x8000034c,2
3,0x80000370,2
3,0x800003b4,2
4,0x8000034c,2
4,0x80000370,2
4,0x800003b4,2
5,0x8000034c,2
5,0x80000370,2
5,0x800003b4,2
6,0x8000034c,2
6,0x80000370,2
6,0x800003b4,2
7,0x8000034c,2
7,0x80000370,2
7,0x800003b4,2
0,0x80000064,1
0,0x800000b8,1
0,0x80000388,1
0,0x800003a0,1
0,0x800003c4,1
0,0x800003a4,1
0,0x8000010c,1
0,0x800003a8,1
0,0x800003f4,1
0,0x8000043c,1
0,0x800003ac,1
0,0x80000120,1
0,0x80000148,1
0,0x800001a0,1
0,0x800000a0,1
1,0x80000064,1
1,0x800000b8,1
1,0x80000388,1
1,0x800003a0,1
1,0x800003c4,1
1,0x800003a4,1
1,0x8000010c,1
1,0x800003a8,1
1,0x800003f4,1
1,0x8000043c,1
1,0x800003ac,1
1,0x80000120,1
1,0x80000148,1
1,0x800001a0,1
1,0x800000a0,1
2,0x80000064,1
2,0x800000b8,1
2,0x80000388,1
2,0x800003a0,1
2,0x800003c4,1
2,0x800003a4,1
2,0x8000010c,1
2,0x800003a8,1
2,0x800003f4,1
2,0x8000043c,1
2,0x800003ac,1
2,0x80000120,1
2,0x80000148,1
2,0x800001a0,1
2,0x800000a0,1
3,0x80000064,1
3,0x800000b8,1
3,0x80000388,1
3,0x800003a0,1
3,0x800003c4,1
3,0x800003a4,1
3,0x8000010c,1
3,0x800003a8,1
3,0x800003f4,1
3,0x8000043c,1
3,0x800003ac,1
3,0x80000120,1
3,0x80000148,1
3,0x800001a0,1
3,0x800000a0,1
4,0x80000064,1
4,0x800000b8,1
4,0x80000388,1
4,0x800003a0,1
4,0x800003c4,1
4,0x800003a4,1
4,0x8000010c,1
4,0x800003a8,1
4,0x800003f4,1
4,0x8000043c,1
4,0x800003ac,1
4,0x80000120,1
4,0x80000148,1
4,0x800001a0,1
4,0x800000a0,1
5,0x80000064,1
5,0x800000b8,1
5,0x80000388,1
5,0x800003a0,1
5,0x800003c4,1
5,0x800003a4,1
5,0x8000010c,1
5,0x800003a8,1
5,0x800003f4,1
5,0x8000043c,1
5,0x800003ac,1
5,0x80000120,1
5,0x80000148,1
5,0x800001a0,1
5,0x800000a0,1
6,0x80000064,1
6,0x800000b8,1
6,0x80000388,1
6,0x800003a0,1
6,0x800003c4,1
6,0x800003a4,1
6,0x8000010c,1
6,0x800003a8,1
6,0x800003f4,1
6,0x8000043c,1
6,0x800003ac,1
6,0x80000120,1
6,0x80000148,1
6,0x800001a0,1
6,0x800000a0,1
7,0x80000064,1
7,0x800000b8,1
7,0x80000388,1
7,0x800003a0,1
7,0x800003c4,1
7,0x800003a4,1
7,0x8000010c,1
7,0x800003a8,1
7,0x800003f4,1
7,0x8000043c,1
7,0x800003ac,1
7,0x80000120,1
7,0x80000148,1
7,0x800001a0,1
7,0x800000a0,1
