instr(prev),samples,mean_ns,min_ns,p50_ns~,p90_ns~,p99_ns~,max_ns
VLW12,17467236,46.209,10,24,96,192,160
VADD,13983987,44.838,10,48,96,96,19440
SETRPC,9994848,43.326,10,48,96,96,140
JAL,7126468,43.129,10,12,96,192,160
VMV,5808792,55.457,10,48,96,384,16420
AUIPC,4997472,36.102,10,48,48,48,390
VBEQ,4718624,48.757,40,48,48,96,90
VADD12,4464896,22.111,10,24,48,48,100
ADDI,4194576,84.351,10,96,96,96,7530
VFMADD,4194304,27.374,10,24,48,96,90
JUMP,2361561,109.260,10,96,96,192,160
LW,1081751,107.104,10,96,96,96,17730
VMSLT,1064960,478.175,10,48,1536,3072,19750
JOIN,803104,622.129,10,96,1536,3072,19700
LUI,540680,29.038,10,48,48,48,1210
VSLL,532512,86.227,20,96,96,96,170
VAND,532480,2574.821,10,3072,3072,12288,19820
VSW12,532480,848.281,10,96,3072,6144,19970
VBLT,270600,121.036,40,96,192,192,150
VMADD,262144,81.288,80,96,96,96,110
BARRIER,33154,4019.730,10,3072,6144,24576,21260
BGE,8456,40.179,20,48,48,48,60
VBNE,8200,109.945,40,96,96,96,110
VMUL,512,39.277,20,48,48,48,50
REGEXT,452,14.181,10,12,24,48,40
CSRRS,144,159.583,10,24,96,3072,7900
SW,103,217.864,10,48,768,1536,2190
JALR,77,20.519,10,12,48,48,60
VLW,40,280.000,10,48,192,6144,7520
MUL,24,82.917,60,96,96,96,120
VSW,24,43.333,30,48,48,48,60
ADD,16,50.000,20,48,96,96,100
VID,16,91.875,90,96,96,96,110
VREMU,14,135.000,30,96,384,384,440
BEQ,8,10.000,10,12,12,12,10
CSRRW,8,10.000,10,12,12,12,10
VDIVU,8,40.000,20,48,48,48,60
VSETVLI,8,45.000,40,48,48,48,60
