instr(prev),samples,mean_ns,min_ns,p50_ns~,p90_ns~,p99_ns~,max_ns
VLW12,17629186,149.518,10,24,96,3072,22880
VADD,13722828,43.960,10,48,48,96,21370
SETRPC,8932096,43.235,10,48,96,96,140
JAL,6328858,43.051,10,12,96,192,150
VMV,4752999,64.220,10,48,96,384,20980
AUIPC,4466240,41.619,10,48,48,96,1800
VADD12,4465152,20.882,10,24,48,48,100
ADDI,4195671,84.476,10,96,96,96,10570
VBEQ,4194560,50.859,40,48,96,96,90
VFMADD,4194304,25.234,10,24,48,96,110
JUMP,2113632,109.264,10,96,96,192,190
VSLL,532672,85.216,10,96,96,96,8930
VSW12,532480,774.265,10,96,3072,6144,36950
JOIN,271040,95.132,10,96,96,96,13210
VBLT,270880,109.230,40,96,192,192,140
VMADD,262656,79.921,10,96,96,96,100
BARRIER,65536,2042.812,10,12,6144,6144,43130
LW,34476,136.375,10,96,96,1536,21500
LUI,16416,47.942,40,48,48,48,10730
BGE,8192,40.006,10,48,48,48,60
REGEXT,736,22.717,10,12,24,192,860
CSRRS,704,183.892,10,24,96,6144,13030
VBGE,544,44.632,10,48,48,48,80
VMUL,512,52.930,20,48,96,96,80
VLW,500,189.860,10,24,384,6144,10230
JALR,482,18.071,10,12,48,48,80
SW,474,635.696,10,48,96,24576,19770
VSW,354,67.740,10,24,48,768,8100
MUL,96,81.042,60,96,96,96,110
ADD,64,50.000,20,48,96,96,100
VBNE,64,42.812,40,48,48,48,60
VID,63,226.508,70,96,96,12288,8530
VREMU,56,318.393,10,96,768,6144,5150
CSRRW,34,10.000,10,12,12,12,10
BEQ,32,10.000,10,12,12,12,10
VDIVU,32,38.750,10,48,48,96,70
VSETVLI,32,45.000,40,48,48,48,60
ENDPRG,16,186.250,120,192,384,384,310
