SM,warp,instr,count
1,0,VLW12,2228224
1,0,VADD,1772585
1,0,SETRPC,1249356
1,0,JAL,1186008
1,0,VBEQ,1179656
1,0,VMV,726128
1,0,AUIPC,624684
1,0,JUMP,593011
1,0,VADD12,558112
1,0,ADDI,524322
1,0,VFMADD,524288
1,0,LW,135220
1,0,VMSLT,133120
1,0,JOIN,100388
1,0,VBLT,67650
1,0,LUI,67585
1,0,VSLL,66564
1,0,VAND,66560
1,0,VSW12,66560
1,0,VMADD,32768
1,0,BARRIER,6215
1,0,VBNE,2050
1,0,BGE,1057
1,0,VMUL,64
1,0,REGEXT,57
1,0,CSRRS,18
1,0,SW,13
1,0,JALR,12
1,0,VLW,5
1,0,MUL,3
1,0,VSW,3
1,0,ADD,2
1,0,CSRRW,2
1,0,VID,2
1,0,VREMU,2
1,0,VSETVLI,1
1,0,BEQ,1
1,0,VDIVU,1
1,0,ENDPRG,1
1,1,VLW12,2228224
1,1,VADD,1772585
1,1,SETRPC,1249356
1,1,JAL,1186008
1,1,VBEQ,1179656
1,1,VMV,726128
1,1,AUIPC,624684
1,1,JUMP,593011
1,1,VADD12,558112
1,1,ADDI,524322
1,1,VFMADD,524288
1,1,LW,135220
1,1,VMSLT,133120
1,1,JOIN,100388
1,1,VBLT,67650
1,1,LUI,67585
1,1,VSLL,66564
1,1,VAND,66560
1,1,VSW12,66560
1,1,VMADD,32768
1,1,BARRIER,4530
1,1,VBNE,2050
1,1,BGE,1057
1,1,VMUL,64
1,1,REGEXT,46
1,1,CSRRS,18
1,1,SW,13
1,1,JALR,12
1,1,VLW,5
1,1,MUL,3
1,1,VSW,3
1,1,ADD,2
1,1,CSRRW,2
1,1,VID,2
1,1,VREMU,2
1,1,VSETVLI,1
1,1,BEQ,1
1,1,VDIVU,1
1,1,ENDPRG,1
1,2,VLW12,2228224
1,2,VADD,1772585
1,2,SETRPC,1249356
1,2,JAL,1186008
1,2,VBEQ,1179656
1,2,VMV,726128
1,2,AUIPC,624684
1,2,JUMP,593011
1,2,VADD12,558112
1,2,ADDI,524322
1,2,VFMADD,524288
1,2,LW,135220
1,2,VMSLT,133120
1,2,JOIN,100388
1,2,VBLT,67650
1,2,LUI,67585
1,2,VSLL,66564
1,2,VAND,66560
1,2,VSW12,66560
1,2,VMADD,32768
1,2,BARRIER,4345
1,2,VBNE,2050
1,2,BGE,1057
1,2,VMUL,64
1,2,REGEXT,50
1,2,CSRRS,18
1,2,SW,13
1,2,JALR,12
1,2,VLW,5
1,2,MUL,3
1,2,VSW,3
1,2,ADD,2
1,2,CSRRW,2
1,2,VID,2
1,2,VREMU,2
1,2,VSETVLI,1
1,2,BEQ,1
1,2,VDIVU,1
1,2,ENDPRG,1
1,3,VLW12,2228224
1,3,VADD,1772585
1,3,SETRPC,1249356
1,3,JAL,1186008
1,3,VBEQ,1179656
1,3,VMV,726128
1,3,AUIPC,624684
1,3,JUMP,593011
1,3,VADD12,558112
1,3,ADDI,524322
1,3,VFMADD,524288
1,3,LW,135220
1,3,VMSLT,133120
1,3,JOIN,100388
1,3,VBLT,67650
1,3,LUI,67585
1,3,VSLL,66564
1,3,VAND,66560
1,3,VSW12,66560
1,3,VMADD,32768
1,3,BARRIER,14956
1,3,VBNE,2050
1,3,BGE,1057
1,3,VMUL,64
1,3,REGEXT,49
1,3,CSRRS,18
1,3,SW,13
1,3,JALR,12
1,3,VLW,5
1,3,MUL,3
1,3,VSW,3
1,3,ADD,2
1,3,CSRRW,2
1,3,VID,2
1,3,VREMU,2
1,3,VSETVLI,1
1,3,BEQ,1
1,3,VDIVU,1
1,3,ENDPRG,1
1,4,VLW12,2228224
1,4,VADD,1772585
1,4,SETRPC,1249356
1,4,JAL,1186008
1,4,VBEQ,1179656
1,4,VMV,726128
1,4,AUIPC,624684
1,4,JUMP,593011
