SM,warp,instr,count
0,0,VLW12,1114112
0,0,VADD,869974
0,0,SETRPC,558256
0,0,JAL,527644
0,0,VBEQ,524320
0,0,VMV,297078
0,0,AUIPC,279140
0,0,VADD12,279072
0,0,JUMP,263844
0,0,ADDI,262230
0,0,VFMADD,262144
0,0,VBLT,33860
0,0,VSLL,33292
0,0,VSW12,33280
0,0,JOIN,16940
0,0,VMADD,16416
0,0,BARRIER,3681
0,0,LW,2160
0,0,LUI,1026
0,0,BGE,512
0,0,VBGE,68
0,0,REGEXT,46
0,0,CSRRS,44
0,0,JALR,40
0,0,VLW,32
0,0,VMUL,32
0,0,SW,30
0,0,VSW,24
0,0,VBNE,8
0,0,MUL,6
0,0,ADD,4
0,0,CSRRW,4
0,0,VID,4
0,0,VREMU,4
0,0,VSETVLI,2
0,0,BEQ,2
0,0,VDIVU,2
0,0,ENDPRG,2
0,1,VLW12,1114112
0,1,VADD,869974
0,1,SETRPC,558256
0,1,JAL,527644
0,1,VBEQ,524320
0,1,VMV,297078
0,1,AUIPC,279140
0,1,VADD12,279072
0,1,JUMP,263844
0,1,ADDI,262230
0,1,VFMADD,262144
0,1,VBLT,33860
0,1,VSLL,33292
0,1,VSW12,33280
0,1,JOIN,16940
0,1,VMADD,16416
0,1,BARRIER,4192
0,1,LW,2160
0,1,LUI,1026
0,1,BGE,512
0,1,VBGE,68
0,1,REGEXT,46
0,1,CSRRS,44
0,1,JALR,40
0,1,VLW,32
0,1,VMUL,32
0,1,SW,30
0,1,VSW,24
0,1,VBNE,8
0,1,MUL,6
0,1,ADD,4
0,1,CSRRW,4
0,1,VID,4
0,1,VREMU,4
0,1,VSETVLI,2
0,1,BEQ,2
0,1,VDIVU,2
0,1,ENDPRG,2
0,2,VLW12,1114112
0,2,VADD,869974
0,2,SETRPC,558256
0,2,JAL,527644
0,2,VBEQ,524320
0,2,VMV,297078
0,2,AUIPC,279140
0,2,VADD12,279072
0,2,JUMP,263844
0,2,ADDI,262230
0,2,VFMADD,262144
0,2,VBLT,33860
0,2,VSLL,33292
0,2,VSW12,33280
0,2,JOIN,16940
0,2,VMADD,16416
0,2,BARRIER,4494
0,2,LW,2160
0,2,LUI,1026
0,2,BGE,512
0,2,VBGE,68
0,2,REGEXT,46
0,2,CSRRS,44
0,2,JALR,40
0,2,VLW,32
0,2,VMUL,32
0,2,SW,30
0,2,VSW,24
0,2,VBNE,8
0,2,MUL,6
0,2,ADD,4
0,2,CSRRW,4
0,2,VID,4
0,2,VREMU,4
0,2,VSETVLI,2
0,2,BEQ,2
0,2,VDIVU,2
0,2,ENDPRG,2
0,3,VLW12,1114112
0,3,VADD,869974
0,3,SETRPC,558256
0,3,JAL,527644
0,3,VBEQ,524320
0,3,VMV,297078
0,3,AUIPC,279140
0,3,VADD12,279072
0,3,JUMP,263844
0,3,ADDI,262230
0,3,VFMADD,262144
0,3,VBLT,33860
0,3,VSLL,33292
0,3,VSW12,33280
0,3,JOIN,16940
0,3,VMADD,16416
0,3,BARRIER,4262
0,3,LW,2160
0,3,LUI,1026
0,3,BGE,512
0,3,VBGE,68
0,3,REGEXT,46
0,3,CSRRS,44
0,3,JALR,40
0,3,VLW,32
0,3,VMUL,32
0,3,SW,30
0,3,VSW,24
