warp,inst_type,count,warp_total,warp_ratio,global_ratio,preference
5,REGEXT,70,11313085,6.1875253301818205e-06,4.994222833295096e-06,1.2389365746620893
6,REGEXT,68,11313083,6.010739954793932e-06,4.994222833295096e-06,1.203538599583903
4,REGEXT,62,11313077,5.48038345359092e-06,4.994222833295096e-06,1.0973445992547082
0,REGEXT,57,11313072,5.038419272855331e-06,4.994222833295096e-06,1.0088495129343429
1,VSLL_VI,66564,11313061,0.005883818711841119,0.005883813250893004,1.0000009281307687
1,VMSLT_VX,133120,11313061,0.011766930276430049,0.011766919355190144,1.0000009281307687
1,VAND_VV,66560,11313061,0.0058834651382150245,0.005883459677595072,1.0000009281307687
1,VSW12_V,66560,11313061,0.0058834651382150245,0.005883459677595072,1.0000009281307687
1,AUIPC,624684,11313061,0.055217946760828036,0.055217895511400245,1.0000009281307685
1,ADDI,524322,11313061,0.04634660769530015,0.04634656467962746,1.0000009281307685
1,VSETVLI,1,11313061,8.839340652366322e-08,8.839332448309905e-08,1.0000009281307685
1,LUI,67585,11313061,0.005974068379901779,0.005974062835190249,1.0000009281307685
1,CSRRS,18,11313061,1.5910813174259381e-06,1.5910798406957828e-06,1.0000009281307685
1,MUL,3,11313061,2.6518021957098967e-07,2.6517997344929714e-07,1.0000009281307685
1,ADD,2,11313061,1.7678681304732645e-07,1.767866489661981e-07,1.0000009281307685
1,BEQ,1,11313061,8.839340652366322e-08,8.839332448309905e-08,1.0000009281307685
1,LW,135220,11313061,0.01195255643012974,0.011952545336604652,1.0000009281307685
1,SW,13,11313061,1.1491142848076219e-06,1.1491132182802875e-06,1.0000009281307685
1,CSRRW,2,11313061,1.7678681304732645e-07,1.767866489661981e-07,1.0000009281307685
1,JALR,12,11313061,1.0607208782839587e-06,1.0607198937971886e-06,1.0000009281307685
1,VMV_V_X,726128,11313061,0.06418492749221454,0.06418486792026375,1.0000009281307685
1,VSW_V,3,11313061,2.6518021957098967e-07,2.6517997344929714e-07,1.0000009281307685
1,VLW_V,5,11313061,4.419670326183161e-07,4.419666224154952e-07,1.0000009281307685
1,JAL,1186008,11313061,0.10483528728431678,0.10483518998355133,1.0000009281307685
1,VADD_VX,623622,11313061,0.05512407296309991,0.05512402180079919,1.0000009281307685
1,SETRPC,1249356,11313061,0.11043483280077779,0.11043473030290668,1.0000009281307685
1,VBEQ,1179656,11313061,0.10427381236607847,0.10427371558643468,1.0000009281307685
