warp,pc,count
0,0x80000000,1
0,0x80000004,1
0,0x80000008,1
0,0x8000000c,1
0,0x80000010,1
0,0x80000014,2
0,0x80000018,1
0,0x8000001c,2
0,0x80000020,2
0,0x80000024,1
0,0x80000028,1
0,0x8000002c,1
0,0x80000030,1
0,0x80000034,2
0,0x80000038,1
0,0x8000003c,1
0,0x80000040,1
0,0x80000044,1
0,0x80000048,1
0,0x8000004c,1
0,0x80000050,1
0,0x80000054,1
0,0x80000064,2
0,0x80000068,2
0,0x8000006c,2
0,0x80000070,2
0,0x80000074,2
0,0x80000078,1
0,0x8000007c,1
0,0x80000080,1
0,0x80000084,1
0,0x80000088,1
0,0x8000008c,1
0,0x80000090,1
0,0x80000094,1
0,0x80000098,2
0,0x800000c8,2
0,0x8000009c,2
0,0x800000cc,2
0,0x800000b8,1
0,0x800000bc,1
0,0x800000c0,1
0,0x800000c4,1
0,0x800000d0,1
0,0x800000d4,2
0,0x800000d8,1
0,0x800000dc,2
0,0x8000010c,2
0,0x800000e0,1
0,0x80000110,3
0,0x800000e4,2
0,0x800000e8,1
0,0x800000ec,2
0,0x80000120,3
0,0x800000f0,1
0,0x80000124,5
0,0x800000f4,2
0,0x800000fc,2
0,0x800000f8,1
0,0x80000100,1
0,0x80000108,2
0,0x80000104,1
0,0x8000034c,2
0,0x80000350,2
0,0x80000354,2
0,0x80000358,2
0,0x80000360,2
0,0x8000035c,2
0,0x80000364,4
0,0x80000368,4
0,0x8000036c,4
0,0x80000370,2
0,0x80000378,2
0,0x80000374,2
0,0x8000037c,4
0,0x80000380,4
0,0x80000384,2
0,0x80000388,1
0,0x8000038c,1
0,0x80000390,1
0,0x80000394,2
0,0x80000398,2
0,0x8000039c,2
0,0x800003a0,2
0,0x800003c4,1
0,0x800003cc,2
0,0x800003c8,1
0,0x800003d0,2
0,0x800003d4,2
0,0x800003d8,1
0,0x800003dc,1
0,0x800003e0,2
0,0x800003e4,1
0,0x800003e8,2
0,0x800003ec,1
0,0x800003f0,2
0,0x800003a4,2
0,0x800003b4,2
0,0x800003bc,2
0,0x800003b8,4
0,0x800003c0,4
0,0x80000114,1
0,0x80000118,1
0,0x8000011c,2
0,0x800003a8,2
0,0x800003f4,1
0,0x800003f8,1
0,0x800003fc,2
0,0x80000400,2
0,0x80000404,2
0,0x80000408,1
0,0x8000040c,1
0,0x80000414,2
0,0x80000410,2
0,0x80000418,1
0,0x8000041c,1
0,0x80000420,1
0,0x80000424,1
0,0x80000428,1
0,0x8000042c,2
0,0x80000430,2
0,0x8000043c,1
0,0x80000440,2
0,0x80000444,1
0,0x80000448,2
0,0x800003ac,2
0,0x80000128,2
0,0x8000012c,2
0,0x80000130,2
0,0x80000134,2
0,0x80000138,2
0,0x8000013c,2
0,0x80000140,1
0,0x80000144,2
0,0x80000148,1
0,0x8000014c,1
0,0x80000150,1
0,0x80000154,1
0,0x80000158,1
0,0x8000015c,1
0,0x80000160,1
0,0x80000164,1
0,0x80000168,1
0,0x8000016c,1
0,0x80000170,1
0,0x80000174,1
0,0x80000178,1
0,0x8000017c,1
0,0x80000180,1
0,0x80000184,32
0,0x800001b4,50
0,0x80000188,64
0,0x8000018c,32
0,0x800001b8,34
0,0x80000190,32
0,0x80000194,32
0,0x8000019c,64
0,0x80000198,32
0,0x800001dc,1024
0,0x800001e0,2048
0,0x800001e4,1024
0,0x800001e8,1024
0,0x800001ec,1024
0,0x800001f0,2048
0,0x800001f4,1024
0,0x800001f8,2048
0,0x800001fc,1024
0,0x80000204,2048
0,0x80000200,1024
0,0x8000022c,32768
0,0x80000230,32768
0,0x80000234,32768
0,0x8000023c,32768
0,0x80000238,32768
0,0x80000240,65536
0,0x80000244,32768
0,0x8000024c,32768
0,0x80000248,32768
0,0x80000250,65536
0,0x80000254,65536
0,0x80000258,65536
0,0x8000025c,32768
0,0x80000260,32768
0,0x80000264,32768
0,0x80000268,65536
0,0x8000026c,32768
0,0x80000270,32768
0,0x80000274,32768
0,0x80000278,32768
