opcode,count,total_ns,share_loop_time,mean_ns,std_ns,min_ns,max_ns,mean_cycles,std_cycles,min_cycles,max_cycles,total_cycles,ns_per_cycle
VLW12_V,8388608,707514840,0.221217,84.342341,39.258742,10,160,8.434234,3.925874,1,16,70751484.000000,10
ADDI,4194304,353772580,0.110613,84.345956,21.377317,10,150,8.434596,2.137732,1,15,35377258.000000,10
VBEQ,5902186,350663370,0.109641,59.412457,8.105051,50,90,5.941246,0.810505,5,9,35066337.000000,10
SETRPC,3932160,262250770,0.081997,66.69382,18.115583,20,140,6.669382,1.811558,2,14,26225077.000000,10
VADD_VV,4194304,251177180,0.078535,59.885306,12.704918,50,110,5.988531,1.270492,5,11,25117718.000000,10
JUMP_TO,4066477,230582940,0.072096,56.703368,55.569868,0,160,5.670337,5.556987,0,16,23058294.000000,10
AUIPC,4194304,227536600,0.071143,54.248953,26.996914,10,140,5.424895,2.699691,1,14,22753660.000000,10
JAL,5894294,214821610,0.067168,36.44569,51.77867,0,160,3.644569,5.177867,0,16,21482161.000000,10
VADD_VX,4194304,197183060,0.061653,47.012105,12.896454,20,100,4.70121,1.289645,2,10,19718306.000000,10
VMV_V_X,4194304,186244540,0.058233,44.404159,11.928255,10,100,4.440416,1.192825,1,10,18624454.000000,10
VADD_VI,4194304,115564750,0.036133,27.552783,17.803909,10,120,2.755278,1.780391,1,12,11556475.000000,10
VFMADD_VV,4194304,114814080,0.035899,27.37381,15.861838,10,90,2.737381,1.586184,1,9,11481408.000000,10
VADD12_VI,4194304,103196880,0.032266,24.604053,20.462912,10,90,2.460405,2.046291,1,9,10319688.000000,10
