opcode,samples,total_ns,share,mean_ns,std_ns,min_ns,max_ns,mean_cycles,std_cycles,min_cycles,max_cycles
VAND_VV,532480,1371081780,0.19783850673522088,2574.8981745792585,2028.0545128778767,10,19820,257.4898174579258,202.80545128778766,1.0,1982.0
VLW12_V,9934143,753898590,0.10878284100266326,75.88964543796119,41.78482958154587,0,160,7.588964543796119,4.1784829581545875,0.0,16.0
VSW12_V,532480,584950080,0.08440463000088003,1098.5390625000073,1901.420672581771,20,21280,109.85390625000073,190.1420672581771,2.0,2128.0
JAL,4744094,517944060,0.07473608131732132,109.17660147543353,12.19324229552782,0,160,10.917660147543353,1.219324229552782,0.0,16.0
VMSLT_VX,1064960,509237100,0.07347972156567813,478.1748610276383,1114.0951374165984,10,19750,47.81748610276383,111.40951374165984,1.0,1975.0
JOIN,803104,499634580,0.07209413811952141,622.129363071261,1150.899862247305,10,19700,62.2129363071261,115.0899862247305,1.0,1970.0
ADDI,4194576,353818020,0.05105372250866941,84.35131941821449,22.076893034835702,10,7540,8.43513194182145,2.20768930348357,1.0,754.0
VADD_VV,4997400,345266920,0.049819852378075485,69.08931044142838,183.65594148900587,0,19440,6.908931044142838,18.365594148900588,0.0,1944.0
SETRPC,4997424,337774650,0.04873876477959752,67.58975224035714,17.005987599322467,20,140,6.758975224035714,1.7005987599322467,2.0,14.0
VMV_V_X,5809024,326956600,0.04717778797354081,56.28425704558598,66.1835342516252,0,16420,5.628425704558598,6.61835342516252,0.0,1642.0
VBEQ,9437248,274632120,0.03962769348618139,29.100869236456013,29.65205345455089,0,100,2.9100869236456015,2.965205345455089,0.0,10.0
AUIPC,4997472,252534670,0.03643916996086972,50.53248322352051,28.064114279217673,10,390,5.053248322352051,2.806411427921767,1.0,39.0
VADD_VX,4988976,222058590,0.03204166264489975,44.509853324610305,15.431721234545213,0,7710,4.4509853324610305,1.5431721234545213,0.0,771.0
VADD12_VI,4464896,117099120,0.016896669023497957,26.226617596468284,21.11930272768467,10,100,2.6226617596468285,2.111930272768467,1.0,10.0
LW,1081666,115858760,0.01671769285023563,107.11140037682932,280.93340487584766,0,17730,10.711140037682933,28.093340487584765,0.0,1773.0
VADD_VI,4194304,115564750,0.01667526905012852,27.552783489227476,17.80390938011303,10,120,2.7552783489227477,1.780390938011303,1.0,12.0
VFMADD_VV,4194304,114814080,0.01656695207442563,27.373809814453658,15.861837725094112,10,90,2.737380981445366,1.5861837725094112,1.0,9.0
VSLL_VI,532512,45917100,0.006625549715649938,86.2273526230391,7.071131134193695,20,170,8.622735262303909,0.7071131134193694,2.0,17.0
VBLT,541200,32836980,0.004738170387541955,60.67439024390116,62.58406877828895,0,150,6.067439024390116,6.258406877828895,0.0,15.0
VMADD_VX,262144,21309100,0.003074769561791927,81.28776550292746,3.354424594300195,80,110,8.128776550292745,0.3354424594300195,8.0,11.0
LUI,540680,15700850,0.00226553424003176,29.039080417252233,18.736648734343564,10,1210,2.903908041725223,1.8736648734343564,1.0,121.0
VBNE,16400,901630,0.0001300995574659866,54.97743902439022,54.99014078374414,0,110,5.497743902439022,5.4990140783744135,0.0,11.0
BGE,8456,422990,6.1034805643709364e-05,50.02246925260163,1.1761341943214279,20,70,5.002246925260163,0.11761341943214279,2.0,7.0
SW,104,22750,3.2826824000434715e-06,218.75000000000003,504.7631137185775,0,2190,21.875000000000004,50.47631137185775,0.0,219.0
CSRRS,72,22020,3.1773479757783404e-06,305.83333333333354,1073.118071027693,40,7900,30.583333333333353,107.31180710276931,4.0,790.0
VMUL_VX,512,21100,3.044597742457901e-06,41.210937499999986,5.97601513128231,30,50,4.121093749999998,0.597601513128231,3.0,5.0
VLW_V,39,11290,1.6290762328127823e-06,289.4871794871795,1206.2271513362573,10,7520,28.94871794871795,120.62271513362573,1.0,752.0
REGEXT,452,7190,1.0374719321456071e-06,15.90707964601769,12.380524128864419,10,50,1.590707964601769,1.2380524128864419,1.0,5.0
MUL,24,1990,2.87144526421385e-07,82.91666666666667,19.886453039512944,60,120,8.291666666666668,1.9886453039512944,6.0,12.0
VREMU_VX,16,1960,2.828157144652837e-07,122.50000000000001,119.02380714238083,10,450,12.250000000000002,11.902380714238083,1.0,45.0
JALR,48,1910,2.756010278717816e-07,39.79166666666666,23.016144503400614,10,90,3.9791666666666656,2.3016144503400615,1.0,9.0
VID_V,16,1470,2.1211178584896278e-07,91.875,5.439056290693575,90,110,9.1875,0.5439056290693575,9.0,11.0
VSW_V,24,1040,1.5006548114484442e-07,43.333333333333336,12.740441145412122,30,60,4.333333333333334,1.2740441145412122,3.0,6.0
ADD,16,800,1.1543498549603417e-07,50.0,25.298221281347036,20,100,5.0,2.5298221281347035,2.0,10.0
BEQ,8,650,9.379092571552776e-08,81.25,3.5355339059327373,80,90,8.125,0.35355339059327373,8.0,9.0
VSETVLI,8,360,5.194574347321538e-08,45.0,9.258200997725515,40,60,4.5,0.9258200997725515,4.0,6.0
VDIVU_VX,8,320,4.617399419841367e-08,40.0,10.690449676496977,20,60,4.0,1.0690449676496976,2.0,6.0
CSRRW,8,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
