event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
2,mode1,1,2,51055,0x800001b4,REGEXT,51035,0x80000184,BGE,51075,0x80000188,JAL
0,mode1,1,3,50655,0x800001b4,REGEXT,50635,0x80000184,BGE,50675,0x80000188,JAL
4,mode1,1,7,52685,0x800001b4,REGEXT,52665,0x80000184,BGE,52705,0x80000188,JAL
8,mode1,1,5,55995,0x800001b4,REGEXT,55965,0x80000184,BGE,56015,0x80000188,JAL
6,mode1,1,4,54955,0x800001b4,REGEXT,54935,0x80000184,BGE,54975,0x80000188,JAL
10,mode1,1,1,57475,0x800001b4,REGEXT,57455,0x80000184,BGE,57495,0x80000188,JAL
12,mode1,1,6,58435,0x800001b4,REGEXT,58415,0x80000184,BGE,58465,0x80000188,JAL
14,mode1,1,0,59485,0x800001b4,REGEXT,59465,0x80000184,BGE,59505,0x80000188,JAL
1,other,1,3,50795,0x800001b4,REGEXT,50785,0x8000018c,VADD,61515,0x800002b0,VLW12
3,other,1,2,51195,0x800001b4,REGEXT,51195,0x8000018c,VADD,61875,0x800002b0,VLW12
9,other,1,5,56135,0x800001b4,REGEXT,56125,0x8000018c,VADD,65805,0x800002b0,VLW12
7,other,1,4,55095,0x800001b4,REGEXT,55085,0x8000018c,VADD,67575,0x800002b0,VLW12
5,other,1,7,52825,0x800001b4,REGEXT,52815,0x8000018c,VADD,61395,0x800002b0,VLW12
11,other,1,1,57615,0x800001b4,REGEXT,57615,0x8000018c,VADD,69555,0x800002b0,VLW12
13,other,1,6,58585,0x800001b4,REGEXT,58575,0x8000018c,VADD,73485,0x800002b0,VLW12
15,other,1,0,59625,0x800001b4,REGEXT,59615,0x8000018c,VADD,73845,0x800002b0,VLW12
21,mode1,1,5,28281435,0x800001b4,REGEXT,28281385,0x80000184,BGE,28281455,0x80000188,JAL
16,mode1,1,1,28281395,0x800001b4,REGEXT,28281345,0x80000184,BGE,28281435,0x80000188,JAL
17,mode2,1,6,28281405,0x800001b4,REGEXT,28281405,0x80000188,JAL,28281415,0x80000188,JAL
