event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
1,1,3,10185,0x800000c8,REGEXT,"SM 1 warp 3 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @10185ns,1 [trace decode.cpp:72]",10185,0x80000098,CSRRW,"SM 1 warp 3 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @10185ns,1 [trace regfile.cpp:87]",10225,0x8000009c,JALR,"SM 1 warp 3 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @10225ns,1 [trace exec_salu.cpp:121]",0
2,1,2,10235,0x800000c8,REGEXT,"SM 1 warp 2 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @10235ns,1 [trace decode.cpp:72]",10235,0x80000098,CSRRW,"SM 1 warp 2 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @10235ns,1 [trace regfile.cpp:87]",10275,0x8000009c,JALR,"SM 1 warp 2 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @10275ns,1 [trace exec_salu.cpp:121]",0
5,1,7,13785,0x800000c8,REGEXT,"SM 1 warp 7 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @13785ns,1 [trace decode.cpp:72]",13785,0x80000098,CSRRW,"SM 1 warp 7 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @13785ns,1 [trace regfile.cpp:87]",13825,0x8000009c,JALR,"SM 1 warp 7 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @13825ns,1 [trace exec_salu.cpp:121]",0
7,1,4,13945,0x800000c8,REGEXT,"SM 1 warp 4 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @13945ns,1 [trace decode.cpp:72]",13945,0x80000098,CSRRW,"SM 1 warp 4 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @13945ns,1 [trace regfile.cpp:87]",13985,0x8000009c,JALR,"SM 1 warp 4 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @13985ns,1 [trace exec_salu.cpp:121]",0
9,1,5,15205,0x800000c8,REGEXT,"SM 1 warp 5 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15205ns,1 [trace decode.cpp:72]",15205,0x80000098,CSRRW,"SM 1 warp 5 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @15205ns,1 [trace regfile.cpp:87]",15245,0x8000009c,JALR,"SM 1 warp 5 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @15245ns,1 [trace exec_salu.cpp:121]",0
11,1,6,15625,0x800000c8,REGEXT,"SM 1 warp 6 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15625ns,1 [trace decode.cpp:72]",15625,0x80000098,CSRRW,"SM 1 warp 6 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @15625ns,1 [trace regfile.cpp:87]",15665,0x8000009c,JALR,"SM 1 warp 6 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @15665ns,1 [trace exec_salu.cpp:121]",0
13,1,1,15805,0x800000c8,REGEXT,"SM 1 warp 1 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15805ns,1 [trace decode.cpp:72]",15805,0x80000098,CSRRW,"SM 1 warp 1 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @15805ns,1 [trace regfile.cpp:87]",15845,0x8000009c,JALR,"SM 1 warp 1 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @15845ns,1 [trace exec_salu.cpp:121]",0
15,1,0,15995,0x800000c8,REGEXT,"SM 1 warp 0 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15995ns,1 [trace decode.cpp:72]",15995,0x80000098,CSRRW,"SM 1 warp 0 0x80000098             CSRRW_0x305f9073 WB x[000]=0x00000000 @15995ns,1 [trace regfile.cpp:87]",16035,0x8000009c,JALR,"SM 1 warp 0 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @16035ns,1 [trace exec_salu.cpp:121]",0
17,1,2,16585,0x8000010c,REGEXT,"SM 1 warp 2 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @16585ns,1 [trace decode.cpp:72]",16575,0x800000dc,LW,"SM 1 warp 2 0x800000dc                LW_0x01052283 WB x[005]=0x00000200 @16575ns,1 [trace regfile.cpp:87]",16615,0x800000e0,SW,"SM 1 warp 2 0x800000e0                SW_0xfe512c23 mask=FFFFFFFF ADDR 70000414, DATA 200 @16615ns,1 [trace exec_lsu.cpp:183]",0
18,1,3,16765,0x8000010c,REGEXT,"SM 1 warp 3 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @16765ns,1 [trace decode.cpp:72]",16755,0x800000dc,LW,"SM 1 warp 3 0x800000dc                LW_0x01052283 WB x[005]=0x00000200 @16755ns,1 [trace regfile.cpp:87]",16795,0x800000e0,SW,"SM 1 warp 3 0x800000e0                SW_0xfe512c23 mask=FFFFFFFF ADDR 70000814, DATA 200 @16795ns,1 [trace exec_lsu.cpp:183]",0
