event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
3,1,3,10285,0x800000c8,REGEXT,"SM 1 warp 3 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @10285ns,1 [trace decode.cpp:72]",10235,0x8000009c,JALR,"SM 1 warp 3 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @10235ns,1 [trace regfile.cpp:87]",10295,0x800000cc,VMV_V_X,"SM 1 warp 3 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @10295ns,1 [trace decode.cpp:157]",1
4,1,2,10335,0x800000c8,REGEXT,"SM 1 warp 2 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @10335ns,1 [trace decode.cpp:72]",10285,0x8000009c,JALR,"SM 1 warp 2 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @10285ns,1 [trace regfile.cpp:87]",10345,0x800000cc,VMV_V_X,"SM 1 warp 2 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @10345ns,1 [trace decode.cpp:157]",1
6,1,7,13885,0x800000c8,REGEXT,"SM 1 warp 7 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @13885ns,1 [trace decode.cpp:72]",13835,0x8000009c,JALR,"SM 1 warp 7 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @13835ns,1 [trace regfile.cpp:87]",13895,0x800000cc,VMV_V_X,"SM 1 warp 7 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @13895ns,1 [trace decode.cpp:157]",1
8,1,4,14045,0x800000c8,REGEXT,"SM 1 warp 4 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @14045ns,1 [trace decode.cpp:72]",13995,0x8000009c,JALR,"SM 1 warp 4 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @13995ns,1 [trace regfile.cpp:87]",14055,0x800000cc,VMV_V_X,"SM 1 warp 4 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @14055ns,1 [trace decode.cpp:157]",1
10,1,5,15305,0x800000c8,REGEXT,"SM 1 warp 5 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15305ns,1 [trace decode.cpp:72]",15255,0x8000009c,JALR,"SM 1 warp 5 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @15255ns,1 [trace regfile.cpp:87]",15315,0x800000cc,VMV_V_X,"SM 1 warp 5 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @15315ns,1 [trace decode.cpp:157]",1
12,1,6,15725,0x800000c8,REGEXT,"SM 1 warp 6 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15725ns,1 [trace decode.cpp:72]",15675,0x8000009c,JALR,"SM 1 warp 6 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @15675ns,1 [trace regfile.cpp:87]",15735,0x800000cc,VMV_V_X,"SM 1 warp 6 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @15735ns,1 [trace decode.cpp:157]",1
14,1,1,15905,0x800000c8,REGEXT,"SM 1 warp 1 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @15905ns,1 [trace decode.cpp:72]",15855,0x8000009c,JALR,"SM 1 warp 1 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @15855ns,1 [trace regfile.cpp:87]",15915,0x800000cc,VMV_V_X,"SM 1 warp 1 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @15915ns,1 [trace decode.cpp:157]",1
16,1,0,16095,0x800000c8,REGEXT,"SM 1 warp 0 0x800000c8            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @16095ns,1 [trace decode.cpp:72]",16045,0x8000009c,JALR,"SM 1 warp 0 0x8000009c              JALR_0x000300e7 WB x[001]=0x800000a0 @16045ns,1 [trace regfile.cpp:87]",16105,0x800000cc,VMV_V_X,"SM 1 warp 0 0x800000cc           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @16105ns,1 [trace decode.cpp:157]",1
33,1,2,34685,0x8000010c,REGEXT,"SM 1 warp 2 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @34685ns,1 [trace decode.cpp:72]",34675,0x800003c0,JALR,"SM 1 warp 2 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @34675ns,1 [trace regfile.cpp:87]",34695,0x80000110,VSW_V,"SM 1 warp 2 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @34695ns,1 [trace decode.cpp:157]",1
34,1,3,34695,0x8000010c,REGEXT,"SM 1 warp 3 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @34695ns,1 [trace decode.cpp:72]",34685,0x800003c0,JALR,"SM 1 warp 3 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @34685ns,1 [trace regfile.cpp:87]",34705,0x80000110,VSW_V,"SM 1 warp 3 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @34705ns,1 [trace decode.cpp:157]",1
35,1,2,34735,0x80000120,REGEXT,"SM 1 warp 2 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @34735ns,1 [trace decode.cpp:72]",34695,0x80000110,VSW_V,"SM 1 warp 2 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @34695ns,1 [trace decode.cpp:157]",34745,0x80000124,VLW_V,"SM 1 warp 2 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @34745ns,1 [trace decode.cpp:157]",1
36,1,3,34745,0x80000120,REGEXT,"SM 1 warp 3 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @34745ns,1 [trace decode.cpp:72]",34705,0x80000110,VSW_V,"SM 1 warp 3 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @34705ns,1 [trace decode.cpp:157]",34755,0x80000124,VLW_V,"SM 1 warp 3 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @34755ns,1 [trace decode.cpp:157]",1
37,1,7,35865,0x8000010c,REGEXT,"SM 1 warp 7 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @35865ns,1 [trace decode.cpp:72]",35855,0x800003c0,JALR,"SM 1 warp 7 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @35855ns,1 [trace regfile.cpp:87]",35875,0x80000110,VSW_V,"SM 1 warp 7 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @35875ns,1 [trace decode.cpp:157]",1
38,1,7,35915,0x80000120,REGEXT,"SM 1 warp 7 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @35915ns,1 [trace decode.cpp:72]",35875,0x80000110,VSW_V,"SM 1 warp 7 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @35875ns,1 [trace decode.cpp:157]",35925,0x80000124,VLW_V,"SM 1 warp 7 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @35925ns,1 [trace decode.cpp:157]",1
39,1,4,36235,0x8000010c,REGEXT,"SM 1 warp 4 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @36235ns,1 [trace decode.cpp:72]",36225,0x800003c0,JALR,"SM 1 warp 4 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @36225ns,1 [trace regfile.cpp:87]",36245,0x80000110,VSW_V,"SM 1 warp 4 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @36245ns,1 [trace decode.cpp:157]",1
40,1,4,36285,0x80000120,REGEXT,"SM 1 warp 4 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @36285ns,1 [trace decode.cpp:72]",36245,0x80000110,VSW_V,"SM 1 warp 4 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @36245ns,1 [trace decode.cpp:157]",36295,0x80000124,VLW_V,"SM 1 warp 4 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @36295ns,1 [trace decode.cpp:157]",1
41,1,5,47465,0x8000010c,REGEXT,"SM 1 warp 5 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @47465ns,1 [trace decode.cpp:72]",47455,0x800003c0,JALR,"SM 1 warp 5 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @47455ns,1 [trace regfile.cpp:87]",47475,0x80000110,VSW_V,"SM 1 warp 5 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @47475ns,1 [trace decode.cpp:157]",1
42,1,5,47515,0x80000120,REGEXT,"SM 1 warp 5 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @47515ns,1 [trace decode.cpp:72]",47475,0x80000110,VSW_V,"SM 1 warp 5 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @47475ns,1 [trace decode.cpp:157]",47525,0x80000124,VLW_V,"SM 1 warp 5 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @47525ns,1 [trace decode.cpp:157]",1
43,1,1,47995,0x8000010c,REGEXT,"SM 1 warp 1 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @47995ns,1 [trace decode.cpp:72]",47985,0x800003c0,JALR,"SM 1 warp 1 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @47985ns,1 [trace regfile.cpp:87]",48005,0x80000110,VSW_V,"SM 1 warp 1 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @48005ns,1 [trace decode.cpp:157]",1
44,1,1,48045,0x80000120,REGEXT,"SM 1 warp 1 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @48045ns,1 [trace decode.cpp:72]",48005,0x80000110,VSW_V,"SM 1 warp 1 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @48005ns,1 [trace decode.cpp:157]",48055,0x80000124,VLW_V,"SM 1 warp 1 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @48055ns,1 [trace decode.cpp:157]",1
45,1,3,49275,0x80000120,REGEXT,"SM 1 warp 3 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @49275ns,1 [trace decode.cpp:72]",49265,0x800003c0,JALR,"SM 1 warp 3 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @49265ns,1 [trace regfile.cpp:87]",49285,0x80000124,VLW_V,"SM 1 warp 3 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @49285ns,1 [trace decode.cpp:157]",1
46,1,2,49505,0x80000120,REGEXT,"SM 1 warp 2 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @49505ns,1 [trace decode.cpp:72]",49495,0x800003c0,JALR,"SM 1 warp 2 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @49495ns,1 [trace regfile.cpp:87]",49515,0x80000124,VLW_V,"SM 1 warp 2 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @49515ns,1 [trace decode.cpp:157]",1
47,1,6,50105,0x8000010c,REGEXT,"SM 1 warp 6 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50105ns,1 [trace decode.cpp:72]",50095,0x800003c0,JALR,"SM 1 warp 6 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @50095ns,1 [trace regfile.cpp:87]",50115,0x80000110,VSW_V,"SM 1 warp 6 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @50115ns,1 [trace decode.cpp:157]",1
48,1,6,50155,0x80000120,REGEXT,"SM 1 warp 6 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50155ns,1 [trace decode.cpp:72]",50115,0x80000110,VSW_V,"SM 1 warp 6 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @50115ns,1 [trace decode.cpp:157]",50165,0x80000124,VLW_V,"SM 1 warp 6 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @50165ns,1 [trace decode.cpp:157]",1
49,1,7,50505,0x80000120,REGEXT,"SM 1 warp 7 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @50505ns,1 [trace decode.cpp:72]",50495,0x800003c0,JALR,"SM 1 warp 7 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @50495ns,1 [trace regfile.cpp:87]",50515,0x80000124,VLW_V,"SM 1 warp 7 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @50515ns,1 [trace decode.cpp:157]",1
51,1,3,50795,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @50795ns,1 [trace decode.cpp:72]",50785,0x8000018c,VADD_VV,"SM 1 warp 3 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000004 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005 00000005}; s1=0 s2=5 s3=6 @50785ns,1 [trace regfile.cpp:109]",50805,0x800001b8,VMV_V_X,"SM 1 warp 3 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @50805ns,1 [trace decode.cpp:157]",1
53,1,2,51195,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @51195ns,1 [trace decode.cpp:72]",51195,0x8000018c,VADD_VV,"SM 1 warp 2 0x8000018c           VADD_VV_0x02500357 mask=FFFFFFFF WB v[006]={00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003}; s1=0 s2=5 s3=6 @51195ns,1 [trace regfile.cpp:109]",51205,0x800001b8,VMV_V_X,"SM 1 warp 2 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @51205ns,1 [trace decode.cpp:157]",1
54,1,0,51525,0x8000010c,REGEXT,"SM 1 warp 0 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @51525ns,1 [trace decode.cpp:72]",51515,0x800003c0,JALR,"SM 1 warp 0 0x800003c0              JALR_0x00008067 WB x[000]=0x800003c4 @51515ns,1 [trace regfile.cpp:87]",51535,0x80000110,VSW_V,"SM 1 warp 0 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @51535ns,1 [trace decode.cpp:157]",1
55,1,0,51575,0x80000120,REGEXT,"SM 1 warp 0 0x80000120            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @51575ns,1 [trace decode.cpp:72]",51535,0x80000110,VSW_V,"SM 1 warp 0 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @51535ns,1 [trace decode.cpp:157]",51585,0x80000124,VLW_V,"SM 1 warp 0 0x80000124             VLW_V_0x7fc028ab REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=17,28,32,17 @51585ns,1 [trace decode.cpp:157]",1
