opcode,category,count(gap-attrib),sum_gap_ns,time_share(%),mean_gap_ns,p50_gap_ns~,p95_gap_ns~,max_gap_ns,mean_cycles,max_cycles
LW,mem,2176,2758770,39.6476,1267.817,32,4096,30760,126.782,3076.000
VSW12_V,mem,160,575240,8.2670,3595.250,64,16384,53930,359.525,5393.000
JOIN,other,416,508280,7.3047,1221.827,64,8192,14790,122.183,1479.000
REGEXT,control,1802,352310,5.0632,195.511,16,16,13270,19.551,1327.000
ADDI,addr,2400,340350,4.8913,141.812,64,64,15590,14.181,1559.000
VAND_VV,other,160,327200,4.7023,2045.000,1024,4096,6380,204.500,638.000
SW,mem,480,284590,4.0900,592.896,32,2048,20790,59.290,2079.000
VMSLT_VX,other,320,236990,3.4059,740.594,32,4096,13560,74.059,1356.000
VADD_VV,compute,1410,224820,3.2310,159.447,32,64,11930,15.945,1193.000
JAL,control,3776,191110,2.7465,50.612,8,64,150,5.061,15.000
VLW12_V,mem,4352,175680,2.5248,40.368,16,64,1700,4.037,170.000
VADD_VX,compute,1504,164980,2.3710,109.694,32,32,14400,10.969,1440.000
CSRRS,other,704,163540,2.3503,232.301,16,64,16710,23.230,1671.000
SETRPC,control,3200,130490,1.8753,40.778,16,64,110,4.078,11.000
VMV_V_X,other,2368,123340,1.7726,52.086,16,64,16960,5.209,1696.000
VBEQ,control,2816,68810,0.9889,24.435,1,32,80,2.444,8.000
VLW_V,mem,1504,54290,0.7802,36.097,16,32,1770,3.610,177.000
ENDPRG,other,16,46970,0.6750,2935.625,2048,4096,5810,293.562,581.000
AUIPC,control,1792,46130,0.6630,25.742,8,64,1800,2.574,180.000
VSLL_VI,other,480,30350,0.4362,63.229,32,64,2250,6.323,225.000
VADD_VI,compute,1024,25600,0.3679,25.000,16,32,40,2.500,4.000
VFMADD_VV,compute,1024,23120,0.3323,22.578,16,32,40,2.258,4.000
VADD12_VI,compute,1088,19040,0.2736,17.500,16,32,70,1.750,7.000
JALR,control,640,15950,0.2292,24.922,8,64,110,2.492,11.000
VREMU_VX,other,64,10180,0.1463,159.062,64,256,2040,15.906,204.000
VSW_V,mem,288,9850,0.1416,34.201,16,32,350,3.420,35.000
MUL,other,96,7750,0.1114,80.729,64,64,110,8.073,11.000
LUI,other,224,7290,0.1048,32.545,8,32,1290,3.254,129.000
VBLT,other,192,7080,0.1018,36.875,1,64,160,3.688,16.000
VID_V,other,64,5800,0.0834,90.625,64,64,120,9.062,12.000
VMADD_VX,other,96,5600,0.0805,58.333,64,64,90,5.833,9.000
VBNE,other,192,5560,0.0799,28.958,1,64,90,2.896,9.000
ADD,addr,64,3200,0.0460,50.000,32,64,100,5.000,10.000
BEQ,control,32,2280,0.0328,71.250,64,64,80,7.125,8.000
VSETVLI,control,32,1440,0.0207,45.000,32,32,60,4.500,6.000
VDIVU_VX,other,32,1310,0.0188,40.938,32,32,60,4.094,6.000
VMUL_VX,compute,32,1290,0.0185,40.312,32,32,50,4.031,5.000
BGE,control,32,1260,0.0181,39.375,32,32,50,3.938,5.000
CSRRW,other,64,390,0.0056,6.094,8,8,20,0.609,2.000
