ctx_id,hit_index,offset,is_hit_line,sm,warp,pc,op,op_raw,kind,time_ns,time_tag,time_str,detail,raw
1,1,-10,0,0,3,0x80000124,VSW_V,VSW_V_0xfe002c2b,INSN,52445,1,"52445ns,1","REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=24,0,32,24 @52445ns,1 [trace decode.cpp:157]","SM 0 warp 3 0x80000124             VSW_V_0xfe002c2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=24,0,32,24 @52445ns,1 [trace decode.cpp:157]"
1,1,-9,0,0,3,0x800000f4,LW,LW_0x00452283,INSN,52475,1,"52475ns,1","mask=FFFFFFFF MEMADDR 90300004 @52475ns,1 [trace exec_lsu.cpp:189]","SM 0 warp 3 0x800000f4                LW_0x00452283 mask=FFFFFFFF MEMADDR 90300004 @52475ns,1 [trace exec_lsu.cpp:189]"
1,1,-8,0,1,5,0x800000dc,LW,LW_0x01052283,INSN,53625,1,"53625ns,1","WB x[005]=0x00000200 @53625ns,1 [trace regfile.cpp:87]","SM 1 warp 5 0x800000dc                LW_0x01052283 WB x[005]=0x00000200 @53625ns,1 [trace regfile.cpp:87]"
1,1,-7,0,1,5,0x8000010c,REGEXT,REGEXT_0x0080200b,INSN,53635,1,"53635ns,1","REGEXT(s3,s2,s1,d)=0,0,1,0 @53635ns,1 [trace decode.cpp:72]","SM 1 warp 5 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @53635ns,1 [trace decode.cpp:72]"
1,1,-6,0,1,5,0x800000e0,SW,SW_0xfe512c23,INSN,53665,1,"53665ns,1","mask=FFFFFFFF ADDR 70001014, DATA 200 @53665ns,1 [trace exec_lsu.cpp:183]","SM 1 warp 5 0x800000e0                SW_0xfe512c23 mask=FFFFFFFF ADDR 70001014, DATA 200 @53665ns,1 [trace exec_lsu.cpp:183]"
1,1,-5,0,1,5,0x80000110,VSW_V,VSW_V_0xfe002e2b,INSN,53675,1,"53675ns,1","REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @53675ns,1 [trace decode.cpp:157]","SM 1 warp 5 0x80000110             VSW_V_0xfe002e2b REGEXT(s3,s2,s1,d)=0,0,1,0 is used to set s3,s2,s1,d=28,0,32,28 @53675ns,1 [trace decode.cpp:157]"
1,1,-4,0,1,5,0x800000e4,LW,LW_0x00c52283,INSN,53705,1,"53705ns,1","mask=FFFFFFFF MEMADDR 9030000c @53705ns,1 [trace exec_lsu.cpp:189]","SM 1 warp 5 0x800000e4                LW_0x00c52283 mask=FFFFFFFF MEMADDR 9030000c @53705ns,1 [trace exec_lsu.cpp:189]"
1,1,-3,0,1,6,0x800000dc,LW,LW_0x01052283,INSN,53805,1,"53805ns,1","WB x[005]=0x00000200 @53805ns,1 [trace regfile.cpp:87]","SM 1 warp 6 0x800000dc                LW_0x01052283 WB x[005]=0x00000200 @53805ns,1 [trace regfile.cpp:87]"
1,1,-2,0,1,6,0x8000010c,REGEXT,REGEXT_0x0080200b,INSN,53815,1,"53815ns,1","REGEXT(s3,s2,s1,d)=0,0,1,0 @53815ns,1 [trace decode.cpp:72]","SM 1 warp 6 0x8000010c            REGEXT_0x0080200b REGEXT(s3,s2,s1,d)=0,0,1,0 @53815ns,1 [trace decode.cpp:72]"
1,1,-1,0,1,6,0x800000e0,SW,SW_0xfe512c23,INSN,53845,1,"53845ns,1","mask=FFFFFFFF ADDR 70001414, DATA 200 @53845ns,1 [trace exec_lsu.cpp:183]","SM 1 warp 6 0x800000e0                SW_0xfe512c23 mask=FFFFFFFF ADDR 70001414, DATA 200 @53845ns,1 [trace exec_lsu.cpp:183]"
