pc,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0x80000244,262144,262144,719228340,2743.638381958008,19820
0x8000028c,262144,262144,651628160,2485.76416015625,19370
0x800002f8,8388608,8388608,580394300,69.188392162323,160
0x800002b8,262144,262144,561208330,2140.8398818969727,21280
0x80000274,262144,262144,478771490,1826.368293762207,19750
0x800002b4,262144,262144,448834250,1712.1667861938477,19700
0x800002ec,8388608,8388608,427766000,50.99368095397949,160
0x80000314,8388608,8388608,368584220,43.93866300582886,140
0x80000304,4194304,4194304,353772580,84.34595584869385,150
0x8000031c,7864320,7864320,254143210,32.31598027547201,160
0x80000318,8388608,8388608,209030670,24.918397665023804,80
0x800002f0,4194304,4194304,190783520,45.48633575439453,90
0x800002f4,8388608,8388608,187514200,22.353434562683105,70
0x80000308,4194304,4194304,186244540,44.40415859222412,100
0x80000310,4194304,4194304,160152600,38.1833553314209,70
0x80000300,4194304,4194304,115564750,27.552783489227295,120
0x800002fc,4194304,4194304,114814080,27.373809814453125,90
0x8000030c,4194304,4194304,84827500,20.224452018737793,60
0x800002d4,262144,262144,71061320,271.0774230957031,690
0x80000240,524288,524288,44475440,84.83016967773438,100
0x80000288,524288,524288,42042770,80.19021987915039,110
0x800002a4,524288,524288,35593970,67.89011001586914,130
0x800001e4,8192,8192,34216990,4176.878662109375,19440
0x8000025c,524288,524288,33760530,64.39310073852539,120
0x800002e4,524288,524288,32112640,61.25,150
0x800001f8,16384,16384,27696560,1690.4638671875,17730
0x800002cc,262144,262144,24921150,95.06664276123047,120
0x80000260,262144,262144,24272190,92.59105682373047,130
0x80000234,262144,262144,24146240,92.110595703125,110
0x8000026c,262144,262144,23994370,91.53125762939453,130
0x80000278,262144,262144,23485750,89.59102630615234,130
0x80000298,524288,524288,21400750,40.81869125366211,100
0x80000250,524288,524288,21325940,40.676002502441406,90
0x8000027c,262144,262144,21074650,80.3934097290039,100
0x800002a8,262144,262144,20987120,80.05950927734375,100
0x800002e0,524288,524288,20316160,38.75,70
0x80000268,524288,524288,20181240,38.49266052246094,120
0x800002c0,262144,262144,19686300,75.09727478027344,16420
0x800002b0,524288,524288,19060060,36.35417938232422,70
0x800002c8,524288,524288,18361790,35.022335052490234,150
0x8000022c,270336,270336,18232980,67.44562322443181,110
0x800002a0,524288,524288,17591320,33.55278015136719,130
0x80000230,262144,262144,16835170,64.22107696533203,80
0x80000258,524288,524288,16449110,31.374187469482422,120
0x800002d0,262144,262144,13428000,51.2237548828125,100
0x800002dc,262144,262144,12451840,47.5,50
0x80000264,262144,262144,10645320,40.608673095703125,360
0x80000270,262144,262144,10566900,40.30952453613281,80
0x80000254,524288,524288,10528180,20.080909729003906,60
0x8000029c,524288,524288,10506850,20.040225982666016,70
0x800002ac,262144,262144,10503230,40.06664276123047,60
0x8000023c,262144,262144,9926530,37.86670684814453,70
0x80000248,262144,262144,7587610,28.944435119628906,30
0x80000290,262144,262144,7037010,26.84406280517578,40
0x80000280,262144,262144,6382530,24.34741973876953,50
0x80000238,262144,262144,5957670,22.726707458496094,60
0x80000284,262144,262144,5025490,19.17072296142578,60
0x80000294,262144,262144,4098150,15.633201599121094,50
0x8000024c,262144,262144,3086220,11.772994995117188,60
0x800001e0,16384,16384,1383760,84.4580078125,110
0x80000208,16384,16384,1071320,65.38818359375,140
0x80000330,8192,8192,931840,113.75,140
0x80000224,16384,16384,901120,55.0,110
0x80000214,8192,8192,757760,92.5,110
0x80000200,8192,8192,725620,88.57666015625,100
0x80000220,16384,16384,716800,43.75,80
0x80000320,8192,8192,716800,87.5,90
0x80000340,16384,16384,665280,40.60546875,80
0x800002c4,262144,262144,655370,2.5000381469726562,130
0x80000324,8192,8192,655360,80.0,80
0x80000344,16384,16384,617920,37.71484375,90
0x800001f4,16384,16384,575700,35.137939453125,1210
0x8000020c,8192,8192,573440,70.0,80
0x80000210,8192,8192,532480,65.0,80
0x80000334,8192,8192,460800,56.25,100
0x800001dc,8448,8448,424740,50.27698863636363,190
