sm,opcode,category,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns,stall_p95_approx_ns
1,VAND_VV_0x26d80857,other,262144,262144,719228340,2743.638381958008,19820,8192
1,VAND_VV_0x27070857,other,262144,262144,651628160,2485.76416015625,19370,4096
1,VLW12_V_0x0007287b,mem,8388608,8388608,580394300,69.188392162323,160,256
1,VSW12_V_0x00e1607b,mem,262144,262144,561208330,2140.8398818969727,21280,8192
1,JOIN,other,803104,803104,499634350,622.129076682472,19700,2048
1,VMSLT_VX_0x6ea4c757,compute,270336,270336,479529250,1773.8268303148675,19750,4096
1,SETRPC,other,9994848,9994848,433034880,43.325809457032264,140,128
1,ADDI,addr,4194576,4194576,353817290,84.35114538394346,7530,128
1,JAL,control,9488064,9488064,307360150,32.3944010074131,160,128
1,JUMP,control,4744088,4744088,258024670,54.38867702285455,160,128
1,VBEQ,control,9437248,9437248,230067320,24.37864513044481,90,64
1,VADD_VX_0x02b047d7,compute,4194304,4194304,197183060,47.012104988098145,100,128
1,VADD_VV_0x024685d7,compute,4194304,4194304,190783520,45.48633575439453,90,64
1,VLW12_V_0x0005a5fb,mem,8388608,8388608,187514200,22.353434562683105,70,64
1,VMV_V_X_0x5e02c7d7,compute,4194304,4194304,186244540,44.40415859222412,100,128
1,AUIPC,addr,4997472,4997472,180418480,36.10194914548796,390,64
1,LW,mem,1081760,1081760,115859370,107.10265678154119,17730,128
1,VADD_VI_0x02d236d7,compute,4194304,4194304,115564750,27.552783489227295,120,128
1,VFMADD_VV_0xa2f815d7,compute,4194304,4194304,114814080,27.373809814453125,90,64
1,VADD12_VI_0x0407070b,compute,4194304,4194304,84827500,20.224452018737793,60,64
1,VMV_V_X_0x5e03c6d7,compute,262144,262144,71061320,271.0774230957031,690,1024
1,VSLL_VI_0x96d136d7,mem,524288,524288,45259310,86.32528305053711,130,128
1,VADD_VV_0x02988557,compute,8192,8192,34216990,4176.878662109375,19440,8192
1,VBLT,control,541200,541200,32752420,60.51814486326681,150,256
1,VMV_V_X_0x5e0047d7,compute,524288,524288,28754940,54.84569549560547,80,128
1,VADD_VV_0x02c88757,compute,262144,262144,24146240,92.110595703125,110,128
1,VSW12_V_0x00d0e07b,mem,262144,262144,23485750,89.59102630615234,130,128
1,VMADD_VX_0xa6a4e6d7,compute,262144,262144,21309100,81.28776550292969,110,128
1,VADD_VV_0x02c006d7,compute,262144,262144,21074650,80.3934097290039,100,128
1,VADD_VV_0x02e386d7,compute,262144,262144,21073650,80.38959503173828,120,128
1,VLW12_V_0x0006a6fb,mem,524288,524288,20181240,38.49266052246094,120,64
1,VMV_V_X_0x5e0046d7,compute,262144,262144,19686300,75.09727478027344,16420,128
