sm,block,warp_in_block,opcode,category,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
1,0,4,VAND_VV_0x26d80857,other,32768,32768,99971680,3050.8935546875,19820
1,0,5,VAND_VV_0x26d80857,other,32768,32768,99520850,3037.1353149414062,18230
1,0,1,VAND_VV_0x26d80857,other,32768,32768,95783560,2923.082275390625,18290
1,0,0,VAND_VV_0x26d80857,other,32768,32768,95661770,2919.3655395507812,18290
1,0,3,VSW12_V_0x00e1607b,mem,32768,32768,94443670,2882.1920776367188,21280
1,0,2,VSW12_V_0x00e1607b,mem,32768,32768,93310790,2847.6193237304688,19970
1,0,7,VAND_VV_0x26d80857,other,32768,32768,84159480,2568.343505859375,18920
1,0,3,VAND_VV_0x27070857,other,32768,32768,83831330,2558.3291625976562,18970
1,0,1,VAND_VV_0x27070857,other,32768,32768,83306320,2542.30712890625,18350
1,0,2,VAND_VV_0x27070857,other,32768,32768,83268220,2541.1444091796875,18630
1,0,6,VAND_VV_0x26d80857,other,32768,32768,83010270,2533.2723999023438,18830
1,0,0,VAND_VV_0x27070857,other,32768,32768,81121100,2475.6195068359375,19370
1,0,5,VAND_VV_0x27070857,other,32768,32768,81117100,2475.4974365234375,18340
1,0,2,VAND_VV_0x26d80857,other,32768,32768,80949800,2470.391845703125,18950
1,0,3,VAND_VV_0x26d80857,other,32768,32768,80170930,2446.6226196289062,18780
1,0,4,VAND_VV_0x27070857,other,32768,32768,80022330,2442.0877075195312,18380
1,0,7,VAND_VV_0x27070857,other,32768,32768,79953280,2439.98046875,18740
1,0,6,VAND_VV_0x27070857,other,32768,32768,79008480,2411.1474609375,18620
1,0,1,VLW12_V_0x0007287b,mem,1048576,1048576,72750950,69.38071250915527,160
1,0,0,VLW12_V_0x0007287b,mem,1048576,1048576,72740180,69.37044143676758,160
1,0,7,VLW12_V_0x0007287b,mem,1048576,1048576,72737360,69.36775207519531,160
1,0,6,VLW12_V_0x0007287b,mem,1048576,1048576,72674200,69.3075180053711,160
1,0,4,VLW12_V_0x0007287b,mem,1048576,1048576,72627070,69.26257133483887,160
