pc,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0x80000294,524288,524288,973933080,1857.6299285888672,22880
0x800002ac,524288,524288,891579120,1700.5522155761719,21480
0x800002f0,8388608,8388608,579647750,69.09939646720886,160
0x800002b0,262144,262144,524606550,2001.2151718139648,43150
0x800002e4,8388608,8388608,416159340,49.61005926132202,150
0x8000030c,8388608,8388608,365035450,43.51561665534973,130
0x800002fc,4194304,4194304,354222470,84.45321798324585,130
0x80000314,7864320,7864320,253048770,32.176815032958984,140
0x80000310,8388608,8388608,213319680,25.4296875,80
0x800002e8,4194304,4194304,194314150,46.32810354232788,90
0x80000300,4194304,4194304,193987040,46.25011444091797,100
0x800002ec,8388608,8388608,190727700,22.73651361465454,70
0x80000308,4194304,4194304,165805450,39.531099796295166,80
0x800002f8,4194304,4194304,116653780,27.81242847442627,120
0x800002f4,4194304,4194304,105840780,25.234408378601074,110
0x80000304,4194304,4194304,81265000,19.375085830688477,60
0x800002cc,262144,262144,57672620,220.0035858154297,580
0x80000238,8192,8192,36064800,4402.44140625,21370
0x80000250,8192,8192,34236640,4179.27734375,20980
0x800002dc,524288,524288,28927980,55.175743103027344,130
0x800002c4,262144,262144,24903730,95.00019073486328,120
0x8000029c,262144,262144,23876940,91.08329772949219,110
0x800002a4,262144,262144,23595910,90.0112533569336,120
0x80000288,270336,270336,22294550,82.4697783499053,110
0x8000028c,262144,262144,20971590,80.0002670288086,90
0x800002a0,262144,262144,20971560,80.00015258789062,100
0x80000298,262144,262144,20834890,79.47879791259766,100
0x800002d8,524288,524288,20316200,38.75007629394531,80
0x800002d4,262144,262144,19660910,75.00041961669922,400
0x800002c0,524288,524288,18592110,35.46163558959961,150
0x800002b8,262144,262144,18354410,70.01651763916016,4470
0x800002c8,262144,262144,11796460,44.99992370605469,80
0x80000290,262144,262144,11756500,44.84748840332031,800
0x800002a8,262144,262144,10487580,40.00694274902344,1020
0x80000234,16384,16384,1357720,82.86865234375,840
0x8000024c,16384,16384,1214420,74.122314453125,1140
0x8000025c,16384,16384,965180,58.909912109375,100
0x80000264,8192,8192,798720,97.5,140
0x80000254,8192,8192,728080,88.876953125,110
0x8000027c,16384,16384,706560,43.125,80
0x80000260,8192,8192,696320,85.0,120
0x800002bc,262144,262144,655570,2.5008010864257812,120
0x80000280,16384,16384,600320,36.640625,90
0x80000248,16384,16384,576950,35.2142333984375,10730
0x80000268,8192,8192,532480,65.0,120
0x8000026c,8192,8192,481280,58.75,100
0x80000230,8704,8704,450000,51.700367647058826,9940
0x80000274,8192,8192,389120,47.5,70
0x80000278,8192,8192,348800,42.578125,50
0x80000244,16384,16384,343280,20.9521484375,60
0x80000240,8192,8192,327730,40.006103515625,60
0x80000088,32,32,261990,8187.1875,19770
0x800000d4,64,64,257480,4023.125,18290
0x800002e0,16384,16384,253380,15.465087890625,50
0x800000e4,64,64,211800,3309.375,17500
0x80000068,64,64,210360,3286.875,19410
0x800000ec,64,64,172440,2694.375,7010
0x800000f4,64,64,163650,2557.03125,7010
0x80000070,64,64,148430,2319.21875,20030
0x800000dc,64,64,144980,2265.3125,9640
0x8000006c,64,64,140020,2187.8125,19810
0x800000fc,64,64,138640,2166.25,7000
0x8000047c,64,64,136270,2129.21875,17050
0x80000258,16384,16384,131910,8.0511474609375,110
0x80000448,64,64,109600,1712.5,21500
0x80000478,64,64,108790,1699.84375,15520
0x80000270,8192,8192,92160,11.25,20
0x8000023c,8192,8192,81970,10.006103515625,30
0x80000200,1024,1024,77350,75.537109375,120
0x80000468,64,64,74440,1163.125,15000
0x80000064,96,96,70530,734.6875,8560
0x80000084,32,32,65990,2062.1875,5500
0x80000214,1024,1024,61900,60.44921875,110
0x80000444,32,32,60960,1905.0,10400
0x80000150,192,192,58880,306.6666666666667,10230
