sm,opcode,category,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns,stall_p95_approx_ns
0,VLW12_V_0x0006267b,mem,524288,524288,945337340,1803.0878829956055,22880,8192
0,VLW12_V_0x0006a7fb,mem,4194304,4194304,289817350,69.09784078598022,160,256
0,VSW12_V_0x00c1e07b,mem,131072,131072,252144950,1923.7133026123047,37020,8192
0,SETRPC,other,4466048,4466048,193089080,43.234886861941476,140,128
0,ADDI,addr,2097840,2097840,177221440,84.47805361705373,8340,128
0,JAL,control,4221152,4221152,136105740,32.24374294031582,150,128
0,JUMP,control,2110752,2110752,115596570,54.765585914403964,190,128
0,VBEQ,control,4194560,4194560,106665940,25.42958975434849,90,128
0,VADD_VV_0x02560557,compute,2097152,2097152,97157030,46.32808208465576,90,64
0,VMV_V_X_0x5e02c757,compute,2097152,2097152,96993760,46.25022888183594,100,128
0,VLW12_V_0x0005257b,mem,4194304,4194304,95370260,22.738041877746582,70,64
0,AUIPC,addr,2233120,2233120,92938750,41.618341154976,1620,64
0,VADD_VX_0x02a04757,compute,2097152,2097152,92897350,44.296908378601074,90,128
0,VADD_VI_0x02c23657,compute,2097152,2097152,58326740,27.81235694885254,120,128
0,VFMADD_VV_0xa2e79557,compute,2097152,2097152,52920460,25.23444175720215,110,64
0,VADD12_VI_0x0406868b,compute,2097152,2097152,40632680,19.375171661376953,60,64
0,VMV_V_X_0x5e03c657,compute,131072,131072,28836780,220.00717163085938,580,512
0,VSLL_VI_0x96c13657,mem,262144,262144,22283460,85.00465393066406,110,128
0,VADD_VV_0x028804d7,compute,4096,4096,17490200,4270.068359375,21370,8192
0,VMV_V_X_0x5e0045d7,compute,4096,4096,15848980,3869.3798828125,18790,8192
0,VBLT,control,270880,270880,14794150,54.61514323685765,140,256
0,JOIN,other,135520,135520,12876000,95.01180637544275,6370,128
0,VADD_VV_0x02b88657,compute,131072,131072,11938450,91.08314514160156,110,128
0,VADD_VV_0x02658657,compute,131072,131072,11121980,84.85397338867188,100,128
0,VMADD_VX_0xa694e657,compute,131072,131072,10485770,80.00007629394531,90,128
0,VSW12_V_0x00c1607b,mem,131072,131072,10417230,79.47715759277344,100,128
0,VMV_V_X_0x5e004657,compute,131072,131072,9179370,70.03303527832031,4470,128
0,VADD12_VI_0x0105858b,compute,131072,131072,5898220,44.999847412109375,80,128
0,VADD_VX_0x02c6c657,compute,131072,131072,5877790,44.84397888183594,70,64
0,VADD_VX_0x02c64657,compute,131072,131072,5244410,40.01167297363281,1020,64
0,LW,mem,17280,17280,2361530,136.66261574074073,20030,128
0,VMV_V_X_0x5e02c557,compute,8192,8192,403300,49.23095703125,110,128
0,VSLL_VI_0x969134d7,mem,4096,4096,399360,97.5,140,256
0,LUI,addr,8208,8208,391920,47.748538011695906,8010,64
0,VADD_VV_0x029384d7,compute,4096,4096,348160,85.0,120,128
0,VADD_VX_0x024046d7,compute,131072,131072,327890,2.5016021728515625,120,16
0,VADD_VX_0x0295c4d7,compute,4096,4096,266240,65.0,120,128
0,VADD12_VI_0x0204040b,compute,4096,4096,240640,58.75,100,128
0,VSW12_V_0x00a4e07b,mem,4096,4096,194560,47.5,70,128
0,SW,mem,240,240,179220,746.75,19770,4096
0,BGE,control,4096,4096,163830,39.99755859375,50,64
0,CSRRS,other,352,352,68990,195.9943181818182,8560,128
0,VADD_VX_0x02234057,compute,32,32,47560,1486.25,10400,16384
0,VMV_V_X_0x5e04c5d7,compute,4096,4096,46080,11.25,20,32
0,VADD_VV_0x02088357,compute,256,256,24700,96.484375,120,128
0,VMV_V_X_0x5e024057,compute,80,80,24230,302.875,6220,64
0,VLW_V_0x7f4020ab,mem,64,64,18580,290.3125,4590,2048
0,VLW_V_0x7fc0282b,mem,96,96,14680,152.91666666666666,5010,1024
0,VMUL_VX_0x9664e3d7,compute,256,256,13530,52.8515625,80,128
0,VADD12_VI_0x0200000b,compute,256,256,13440,52.5,80,128
0,VBGE,control,544,544,12160,22.352941176470587,80,64
0,VID_V_0x5208a157,other,32,32,11300,353.125,8530,256
0,VMADD_VX_0xa703e357,compute,256,256,10150,39.6484375,70,64
0,VSLL_VI_0x97123157,mem,16,16,10080,630.0,8930,16384
0,REGEXT,other,368,368,8950,24.320652173913043,860,64
0,VADD_VX_0x02104457,compute,256,256,7770,30.3515625,90,128
0,VMV_V_X_0x5e054357,compute,256,256,5480,21.40625,40,64
0,VMV_V_X_0x5e04c357,compute,256,256,4910,19.1796875,40,64
0,VMV_V_X_0x5e02c057,compute,160,160,4870,30.4375,90,128
0,VREMU_VX_0x8a0e6057,other,16,16,4630,289.375,1680,2048
0,JALR,control,320,320,4530,14.15625,80,64
0,VSW_V_0xfe002c2b,mem,64,64,4320,67.5,1430,128
0,MUL,addr,48,48,3910,81.45833333333333,110,128
0,VLW_V_0x7f8028ab,mem,96,96,3470,36.145833333333336,1030,64
0,VSW_V_0xfe002a2b,mem,80,80,3130,39.125,950,64
0,VMV_V_X_0x5e004057,compute,64,64,2490,38.90625,90,128
0,ADD,addr,32,32,1600,50.0,100,128
0,VREMU_VX_0x8a0f6057,other,16,16,1490,93.125,110,128
0,VADD_VX_0x020040d7,compute,64,64,1470,22.96875,70,32
0,VSW_V_0xfe002e2b,mem,48,48,1470,30.625,90,64
0,RECEIVE,other,16,16,1440,90.0,120,128
0,VBNE,control,64,64,1380,21.5625,60,64
0,VSLL_VI_0x97013357,mem,16,16,1310,81.875,90,128
0,VADD_VV_0x02280157,compute,16,16,1300,81.25,100,128
0,VMV_V_X_0x5e004157,compute,32,32,1260,39.375,60,64
0,VSLL_VI_0x97133357,mem,16,16,1180,73.75,90,128
0,VADD_VV_0x025302d7,compute,16,16,1000,62.5,90,128
0,VSETVLI,mem,16,16,720,45.0,60,64
0,VMV_V_X_0x5e02c257,compute,16,16,690,43.125,60,64
0,VADD_VV_0x02430257,compute,16,16,680,42.5,50,64
0,VDIVU_VX_0x820e6057,other,16,16,660,41.25,70,128
0,VSLL_VI_0x961230d7,mem,16,16,660,41.25,70,128
0,VSLL_VI_0x96023057,mem,16,16,650,40.625,60,64
0,VADD_VX_0x0232c157,compute,16,16,610,38.125,50,64
0,VSLL_VI_0x962131d7,mem,16,16,430,26.875,50,64
0,VMV_V_X_0x5e0ec0d7,compute,16,16,420,26.25,30,32
0,VMV_V_X_0x5e054057,compute,32,32,410,12.8125,50,64
0,VMV_V_X_0x5e0540d7,compute,16,16,350,21.875,30,32
0,VMV_V_X_0x5e02c2d7,compute,16,16,350,21.875,30,32
0,VADD_VX_0x0232c1d7,compute,16,16,180,11.25,20,32
0,CSRRW,other,32,32,170,5.3125,10,16
0,BEQ,control,16,16,160,10.0,10,16
0,ENDPRG,other,16,0,0,0.0,0,0
1,VLW12_V_0x0006267b,mem,524288,524288,920174860,1755.0942611694336,22880,8192
1,VLW12_V_0x0006a7fb,mem,4194304,4194304,289830400,69.1009521484375,160,256
1,VSW12_V_0x00c1e07b,mem,131072,131072,272461600,2078.717041015625,43150,8192
1,SETRPC,other,4466048,4466048,193089230,43.23492044868304,110,128
1,ADDI,addr,2097840,2097840,177213880,84.47444991038401,10570,128
1,JAL,control,4221152,4221152,136355770,32.302975585811645,150,128
1,JUMP,control,2110752,2110752,115346440,54.64708312487682,150,128
1,VBEQ,control,4194560,4194560,106666010,25.429606442630455,90,128
1,VADD_VV_0x02560557,compute,2097152,2097152,97157120,46.328125,80,64
1,VMV_V_X_0x5e02c757,compute,2097152,2097152,96993280,46.25,80,128
1,VLW12_V_0x0005257b,mem,4194304,4194304,95357440,22.7349853515625,60,64
1,AUIPC,addr,2233120,2233120,92940240,41.61900838289031,1800,64
1,VADD_VX_0x02a04757,compute,2097152,2097152,92897280,44.296875,90,128
1,VADD_VI_0x02c23657,compute,2097152,2097152,58327040,27.8125,120,128
1,VFMADD_VV_0xa2e79557,compute,2097152,2097152,52920320,25.234375,90,64
1,VADD12_VI_0x0406868b,compute,2097152,2097152,40632320,19.375,60,64
1,VMV_V_X_0x5e03c657,compute,131072,131072,28835840,220.0,490,512
1,VSLL_VI_0x96c13657,mem,262144,262144,22284040,85.00686645507812,120,128
1,VADD_VV_0x028804d7,compute,4096,4096,18574600,4534.814453125,21310,16384
1,VMV_V_X_0x5e0045d7,compute,4096,4096,18387660,4489.1748046875,20980,8192
1,VBLT,control,270880,270880,14794160,54.61518015357354,140,256
1,JOIN,other,135520,135520,12908570,95.252139905549,13210,128
1,VADD_VV_0x02b88657,compute,131072,131072,11938490,91.08345031738281,110,128
1,VADD_VV_0x02658657,compute,131072,131072,11123380,84.86465454101562,90,128
1,VMADD_VX_0xa694e657,compute,131072,131072,10485790,80.00022888183594,100,128
1,VSW12_V_0x00c1607b,mem,131072,131072,10417660,79.48043823242188,100,128
1,VMV_V_X_0x5e004657,compute,131072,131072,9175040,70.0,80,128
1,VADD12_VI_0x0105858b,compute,131072,131072,5898240,45.0,80,128
1,VADD_VX_0x02c6c657,compute,131072,131072,5878710,44.85099792480469,800,64
1,VADD_VX_0x02c64657,compute,131072,131072,5243170,40.00221252441406,60,64
1,LW,mem,17280,17280,2340120,135.42361111111111,21500,128
1,VMV_V_X_0x5e02c557,compute,8192,8192,406750,49.652099609375,110,128
1,VSLL_VI_0x969134d7,mem,4096,4096,399360,97.5,140,256
1,LUI,addr,8208,8208,395100,48.1359649122807,10730,64
1,VADD_VV_0x029384d7,compute,4096,4096,348160,85.0,120,128
1,VADD_VX_0x024046d7,compute,131072,131072,327680,2.5,10,16
1,VADD_VX_0x0295c4d7,compute,4096,4096,266240,65.0,120,128
1,VADD12_VI_0x0204040b,compute,4096,4096,240640,58.75,100,128
1,VSW12_V_0x00a4e07b,mem,4096,4096,194560,47.5,70,128
1,BGE,control,4096,4096,163900,40.0146484375,60,64
1,SW,mem,240,240,122100,508.75,17810,4096
1,CSRRS,other,352,352,60470,171.78977272727272,13030,128
1,VADD_VX_0x02234057,compute,32,32,49640,1551.25,13170,8192
1,VMV_V_X_0x5e04c5d7,compute,4096,4096,46080,11.25,20,32
1,VLW_V_0x7fc0282b,mem,96,96,44200,460.4166666666667,10230,8192
1,VADD_VV_0x02088357,compute,256,256,24720,96.5625,120,128
1,VMV_V_X_0x5e024057,compute,80,80,16730,209.125,4810,64
1,VMUL_VX_0x9664e3d7,compute,256,256,13570,53.0078125,80,128
1,VADD12_VI_0x0200000b,compute,256,256,13440,52.5,80,128
1,VBGE,control,544,544,12120,22.279411764705884,70,64
1,VLW_V_0x7f4020ab,mem,64,64,11550,180.46875,950,1024
1,VSW_V_0xfe002a2b,mem,80,80,10580,132.25,8100,64
1,VREMU_VX_0x8a0e6057,other,16,16,10190,636.875,5150,8192
1,VMADD_VX_0xa703e357,compute,256,256,10050,39.2578125,60,64
1,VADD_VX_0x02104457,compute,256,256,7900,30.859375,90,128
1,REGEXT,other,368,368,7770,21.11413043478261,680,64
1,VMV_V_X_0x5e054357,compute,256,256,5480,21.40625,40,64
1,VSLL_VI_0x97123157,mem,16,16,5120,320.0,2310,4096
1,VMV_V_X_0x5e04c357,compute,256,256,4860,18.984375,40,64
1,VMV_V_X_0x5e02c057,compute,160,160,4260,26.625,100,128
1,JALR,control,320,320,4180,13.0625,60,64
1,MUL,addr,48,48,3870,80.625,110,128
1,VSLL_VI_0x961230d7,mem,16,16,3230,201.875,2620,4096
1,VSW_V_0xfe002c2b,mem,64,64,3100,48.4375,700,128
1,VID_V_0x5208a157,other,32,32,2970,92.8125,110,128
1,VMV_V_X_0x5e004057,compute,64,64,2630,41.09375,80,128
1,VLW_V_0x7f8028ab,mem,96,96,2450,25.520833333333332,290,128
1,VADD_VX_0x020040d7,compute,64,64,1880,29.375,220,64
1,ADD,addr,32,32,1600,50.0,100,128
1,VREMU_VX_0x8a0f6057,other,16,16,1520,95.0,110,128
1,RECEIVE,other,16,16,1440,90.0,120,128
1,VSW_V_0xfe002e2b,mem,48,48,1380,28.75,40,64
1,VBNE,control,64,64,1360,21.25,50,64
1,VADD_VV_0x02280157,compute,16,16,1330,83.125,100,128
1,VMV_V_X_0x5e004157,compute,32,32,1320,41.25,60,64
1,VSLL_VI_0x97013357,mem,16,16,1310,81.875,90,128
1,VSLL_VI_0x97133357,mem,16,16,1200,75.0,90,128
1,VADD_VV_0x025302d7,compute,16,16,900,56.25,100,128
1,VSETVLI,mem,16,16,720,45.0,60,64
1,VADD_VX_0x0232c157,compute,16,16,690,43.125,70,128
1,VMV_V_X_0x5e02c257,compute,16,16,660,41.25,60,64
1,VADD_VV_0x02430257,compute,16,16,620,38.75,50,64
1,VSLL_VI_0x96023057,mem,16,16,600,37.5,50,64
1,VDIVU_VX_0x820e6057,other,16,16,580,36.25,50,64
1,VMV_V_X_0x5e0ec0d7,compute,16,16,380,23.75,30,32
1,VMV_V_X_0x5e054057,compute,32,32,340,10.625,40,64
1,VMV_V_X_0x5e0540d7,compute,16,16,340,21.25,30,32
1,VMV_V_X_0x5e02c2d7,compute,16,16,310,19.375,40,64
1,VSLL_VI_0x962131d7,mem,16,16,300,18.75,30,32
1,VADD_VX_0x0232c1d7,compute,16,16,200,12.5,30,32
1,CSRRW,other,32,32,170,5.3125,10,16
1,BEQ,control,16,16,160,10.0,10,16
1,ENDPRG,other,16,0,0,0.0,0,0
