sm,block,warp_in_block,opcode,category,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0,1,7,VLW12_V_0x0006267b,mem,32768,32768,62145250,1896.5225219726562,19340
0,1,6,VLW12_V_0x0006267b,mem,32768,32768,61548600,1878.314208984375,18820
0,1,4,VLW12_V_0x0006267b,mem,32768,32768,61217100,1868.1976318359375,19190
0,1,5,VLW12_V_0x0006267b,mem,32768,32768,61187010,1867.2793579101562,18800
0,1,0,VLW12_V_0x0006267b,mem,32768,32768,60901930,1858.5794067382812,18930
0,1,1,VLW12_V_0x0006267b,mem,32768,32768,60835410,1856.5493774414062,19190
1,0,5,VLW12_V_0x0006267b,mem,32768,32768,60788420,1855.1153564453125,19190
0,1,2,VLW12_V_0x0006267b,mem,32768,32768,60712250,1852.7908325195312,18950
1,0,0,VLW12_V_0x0006267b,mem,32768,32768,60433930,1844.2971801757812,19190
1,0,6,VLW12_V_0x0006267b,mem,32768,32768,60307350,1840.4342651367188,19010
1,0,7,VLW12_V_0x0006267b,mem,32768,32768,60232380,1838.1463623046875,19010
0,1,3,VLW12_V_0x0006267b,mem,32768,32768,60211880,1837.520751953125,19020
1,0,3,VLW12_V_0x0006267b,mem,32768,32768,60160340,1835.9478759765625,19430
1,0,4,VLW12_V_0x0006267b,mem,32768,32768,60099730,1834.0982055664062,19190
1,0,1,VLW12_V_0x0006267b,mem,32768,32768,59822230,1825.6295776367188,19190
1,0,2,VLW12_V_0x0006267b,mem,32768,32768,59478350,1815.1351928710938,19010
0,3,7,VLW12_V_0x0006267b,mem,32768,32768,57840490,1765.1516723632812,21320
0,3,6,VLW12_V_0x0006267b,mem,32768,32768,57786700,1763.5101318359375,22880
0,3,2,VLW12_V_0x0006267b,mem,32768,32768,57416990,1752.2274780273438,21530
0,3,3,VLW12_V_0x0006267b,mem,32768,32768,57109980,1742.8582763671875,21030
0,3,5,VLW12_V_0x0006267b,mem,32768,32768,57085100,1742.0989990234375,20190
0,3,4,VLW12_V_0x0006267b,mem,32768,32768,56759090,1732.1499633789062,20560
0,3,0,VLW12_V_0x0006267b,mem,32768,32768,56310180,1718.4503173828125,20620
0,3,1,VLW12_V_0x0006267b,mem,32768,32768,56269380,1717.2052001953125,20670
1,2,6,VLW12_V_0x0006267b,mem,32768,32768,55771140,1702.0001220703125,21260
1,2,3,VLW12_V_0x0006267b,mem,32768,32768,55457290,1692.4221801757812,22880
1,2,7,VLW12_V_0x0006267b,mem,32768,32768,55357520,1689.37744140625,21470
1,2,2,VLW12_V_0x0006267b,mem,32768,32768,55236530,1685.6851196289062,22220
1,2,5,VLW12_V_0x0006267b,mem,32768,32768,54560380,1665.0506591796875,21710
1,2,4,VLW12_V_0x0006267b,mem,32768,32768,54426220,1660.9564208984375,20490
1,2,0,VLW12_V_0x0006267b,mem,32768,32768,54120930,1651.6397094726562,20510
