sm,opcode,category,exec_A,exec_B,delta_exec,stall_sum_A_ns,stall_sum_B_ns,delta_stall_sum_ns
0,VLW12_V_0x0006267b,mem,0,524288,524288,0,945337340,945337340
1,VLW12_V_0x0006267b,mem,0,524288,524288,0,920174860,920174860
1,VLW12_V_0x0006a7fb,mem,0,4194304,4194304,0,289830400,289830400
0,VLW12_V_0x0006a7fb,mem,0,4194304,4194304,0,289817350,289817350
1,VSW12_V_0x00c1e07b,mem,0,131072,131072,0,272461600,272461600
0,VSW12_V_0x00c1e07b,mem,0,131072,131072,0,252144950,252144950
0,SETRPC,other,0,4466048,4466048,0,193089080,193089080
0,ADDI,addr,0,2097840,2097840,0,177221440,177221440
0,JAL,control,0,4221152,4221152,0,136105740,136105740
0,JUMP,control,0,2110752,2110752,0,115596570,115596570
0,VBEQ,control,0,4194560,4194560,0,106665940,106665940
1,VADD_VV_0x02560557,compute,0,2097152,2097152,0,97157120,97157120
0,VADD_VV_0x02560557,compute,0,2097152,2097152,0,97157030,97157030
0,VMV_V_X_0x5e02c757,compute,0,2097152,2097152,0,96993760,96993760
0,VLW12_V_0x0005257b,mem,0,4194304,4194304,0,95370260,95370260
1,VLW12_V_0x0005257b,mem,0,4194304,4194304,0,95357440,95357440
0,AUIPC,addr,0,2233120,2233120,0,92938750,92938750
0,VADD_VX_0x02a04757,compute,0,2097152,2097152,0,92897350,92897350
1,VADD_VX_0x02a04757,compute,0,2097152,2097152,0,92897280,92897280
1,VMV_V_X_0x5e02c757,compute,262144,2097152,1835008,7037010,96993280,89956270
1,VADD_VI_0x02c23657,compute,0,2097152,2097152,0,58327040,58327040
0,VADD_VI_0x02c23657,compute,0,2097152,2097152,0,58326740,58326740
0,VFMADD_VV_0xa2e79557,compute,0,2097152,2097152,0,52920460,52920460
1,VFMADD_VV_0xa2e79557,compute,0,2097152,2097152,0,52920320,52920320
0,VADD12_VI_0x0406868b,compute,0,2097152,2097152,0,40632680,40632680
1,VADD12_VI_0x0406868b,compute,0,2097152,2097152,0,40632320,40632320
0,VMV_V_X_0x5e03c657,compute,0,131072,131072,0,28836780,28836780
1,VMV_V_X_0x5e03c657,compute,0,131072,131072,0,28835840,28835840
1,VSLL_VI_0x96c13657,mem,0,262144,262144,0,22284040,22284040
0,VSLL_VI_0x96c13657,mem,0,262144,262144,0,22283460,22283460
1,VADD_VV_0x028804d7,compute,0,4096,4096,0,18574600,18574600
1,VMV_V_X_0x5e0045d7,compute,0,4096,4096,0,18387660,18387660
0,VADD_VV_0x028804d7,compute,0,4096,4096,0,17490200,17490200
0,VMV_V_X_0x5e0045d7,compute,0,4096,4096,0,15848980,15848980
0,VBLT,control,0,270880,270880,0,14794150,14794150
0,JOIN,other,0,135520,135520,0,12876000,12876000
1,VADD_VV_0x02b88657,compute,0,131072,131072,0,11938490,11938490
0,VADD_VV_0x02b88657,compute,0,131072,131072,0,11938450,11938450
1,VADD_VV_0x02658657,compute,0,131072,131072,0,11123380,11123380
0,VADD_VV_0x02658657,compute,0,131072,131072,0,11121980,11121980
1,VMADD_VX_0xa694e657,compute,0,131072,131072,0,10485790,10485790
0,VMADD_VX_0xa694e657,compute,0,131072,131072,0,10485770,10485770
1,VSW12_V_0x00c1607b,mem,0,131072,131072,0,10417660,10417660
0,VSW12_V_0x00c1607b,mem,0,131072,131072,0,10417230,10417230
0,VMV_V_X_0x5e004657,compute,0,131072,131072,0,9179370,9179370
1,VMV_V_X_0x5e004657,compute,16384,131072,114688,1299060,9175040,7875980
1,VADD12_VI_0x0105858b,compute,0,131072,131072,0,5898240,5898240
0,VADD12_VI_0x0105858b,compute,0,131072,131072,0,5898220,5898220
1,VADD_VX_0x02c6c657,compute,0,131072,131072,0,5878710,5878710
0,VADD_VX_0x02c6c657,compute,0,131072,131072,0,5877790,5877790
0,VADD_VX_0x02c64657,compute,0,131072,131072,0,5244410,5244410
1,VADD_VX_0x02c64657,compute,0,131072,131072,0,5243170,5243170
0,LW,mem,0,17280,17280,0,2361530,2361530
1,VMV_V_X_0x5e02c557,compute,0,8192,8192,0,406750,406750
0,VMV_V_X_0x5e02c557,compute,0,8192,8192,0,403300,403300
1,VSLL_VI_0x969134d7,mem,0,4096,4096,0,399360,399360
0,VSLL_VI_0x969134d7,mem,0,4096,4096,0,399360,399360
0,LUI,addr,0,8208,8208,0,391920,391920
1,VADD_VV_0x029384d7,compute,0,4096,4096,0,348160,348160
0,VADD_VV_0x029384d7,compute,0,4096,4096,0,348160,348160
0,VADD_VX_0x024046d7,compute,0,131072,131072,0,327890,327890
1,VADD_VX_0x024046d7,compute,0,131072,131072,0,327680,327680
1,VADD_VX_0x0295c4d7,compute,0,4096,4096,0,266240,266240
0,VADD_VX_0x0295c4d7,compute,0,4096,4096,0,266240,266240
1,VADD12_VI_0x0204040b,compute,0,4096,4096,0,240640,240640
0,VADD12_VI_0x0204040b,compute,0,4096,4096,0,240640,240640
0,VSW12_V_0x00a4e07b,mem,0,4096,4096,0,194560,194560
1,VSW12_V_0x00a4e07b,mem,0,4096,4096,0,194560,194560
0,SW,mem,0,240,240,0,179220,179220
0,BGE,control,0,4096,4096,0,163830,163830
1,SW,mem,104,240,136,22440,122100,99660
0,CSRRS,other,0,352,352,0,68990,68990
0,VADD_VX_0x02234057,compute,0,32,32,0,47560,47560
1,VMV_V_X_0x5e04c5d7,compute,0,4096,4096,0,46080,46080
0,VMV_V_X_0x5e04c5d7,compute,0,4096,4096,0,46080,46080
1,VLW_V_0x7fc0282b,mem,0,96,96,0,44200,44200
1,CSRRS,other,144,352,208,22980,60470,37490
1,VADD_VV_0x02088357,compute,0,256,256,0,24720,24720
0,VADD_VV_0x02088357,compute,0,256,256,0,24700,24700
0,VMV_V_X_0x5e024057,compute,0,80,80,0,24230,24230
1,VADD_VX_0x02234057,compute,16,32,16,28390,49640,21250
0,VLW_V_0x7f4020ab,mem,0,64,64,0,18580,18580
0,VLW_V_0x7fc0282b,mem,0,96,96,0,14680,14680
1,VMUL_VX_0x9664e3d7,compute,0,256,256,0,13570,13570
0,VMUL_VX_0x9664e3d7,compute,0,256,256,0,13530,13530
