opcode,category,count(gap-attrib),sum_gap_ns,time_share(%),mean_gap_ns,p50_gap_ns~,p95_gap_ns~,max_gap_ns,mean_cycles,max_cycles
JOIN,other,304,398320,14.2287,1310.263,64,4096,18610,131.026,1861.000
LW,mem,800,379730,13.5646,474.663,64,2048,8930,47.466,893.000
VMSLT_VX,other,320,254660,9.0969,795.812,32,2048,17940,79.581,1794.000
VADD_VV,compute,1320,242020,8.6454,183.348,32,64,9360,18.335,936.000
VAND_VV,other,160,222180,7.9367,1388.625,512,2048,14560,138.863,1456.000
VSW12_V,mem,160,202420,7.2308,1265.125,64,4096,8950,126.513,895.000
VLW12_V,mem,4352,197030,7.0383,45.273,16,128,160,4.527,16.000
JAL,control,2784,154180,5.5076,55.381,8,64,150,5.538,15.000
ADDI,addr,1296,148390,5.3008,114.498,64,64,8530,11.450,853.000
SETRPC,control,2688,115940,4.1416,43.132,32,64,130,4.313,13.000
VMV_V_X,other,1744,93650,3.3453,53.698,32,64,2680,5.370,268.000
VADD_VX,compute,1296,91530,3.2696,70.625,32,64,10110,7.062,1011.000
VBEQ,control,2368,57810,2.0651,24.413,1,32,70,2.441,7.000
AUIPC,control,1392,52790,1.8858,37.924,32,32,390,3.792,39.000
VADD_VI,compute,1024,28240,1.0088,27.578,16,64,120,2.758,12.000
VFMADD_VV,compute,1024,28000,1.0002,27.344,16,32,90,2.734,9.000
VADD12_VI,compute,1136,26640,0.9516,23.451,16,32,100,2.345,10.000
SW,mem,104,21420,0.7652,205.962,32,1024,2010,20.596,201.000
VSLL_VI,other,192,18220,0.6509,94.896,64,64,1320,9.490,132.000
CSRRS,other,144,13910,0.4969,96.597,16,64,3280,9.660,328.000
VBLT,other,240,8920,0.3186,37.167,1,128,150,3.717,15.000
VLW_V,mem,40,7960,0.2843,199.000,16,1024,2170,19.900,217.000
LUI,other,200,7220,0.2579,36.100,32,32,1040,3.610,104.000
VMADD_VX,other,64,5180,0.1850,80.938,64,64,90,8.094,9.000
VBNE,other,80,3890,0.1390,48.625,1,64,110,4.862,11.000
VREMU_VX,other,16,3760,0.1343,235.000,64,1024,1520,23.500,152.000
MUL,other,24,3280,0.1172,136.667,64,64,1410,13.667,141.000
JALR,control,96,2350,0.0839,24.479,8,64,90,2.448,9.000
BGE,control,56,2250,0.0804,40.179,32,32,70,4.018,7.000
REGEXT,control,92,1620,0.0579,17.609,8,32,40,1.761,4.000
VID_V,other,16,1530,0.0547,95.625,64,64,120,9.562,12.000
VMUL_VX,compute,32,1150,0.0411,35.938,32,32,50,3.594,5.000
VSW_V,mem,24,1090,0.0389,45.417,32,64,80,4.542,8.000
ADD,addr,16,800,0.0286,50.000,32,64,100,5.000,10.000
BEQ,control,8,570,0.0204,71.250,64,64,80,7.125,8.000
VSETVLI,control,8,360,0.0129,45.000,32,32,60,4.500,6.000
VDIVU_VX,other,8,320,0.0114,40.000,32,32,50,4.000,5.000
CSRRW,other,16,80,0.0029,5.000,1,8,10,0.500,1.000
