pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x80000000,8,0.00000009,AUIPC,AUIPC,0x00004197,OTHER,"SM 1 warp 2 0x80000000             AUIPC_0x00004197 WB x[003]=0x80004000 @75ns,1 [trace regfile.cpp:87]"
0x80000004,8,0.00000009,ADDI,ADDI,0x80818193,OTHER,"SM 1 warp 2 0x80000004              ADDI_0x80818193 WB x[003]=0x80003808 @155ns,1 [trace regfile.cpp:87]"
0x80000008,8,0.00000009,ADDI,ADDI,0x02000e93,OTHER,"SM 1 warp 2 0x80000008              ADDI_0x02000e93 WB x[029]=0x00000020 @195ns,1 [trace regfile.cpp:87]"
0x8000000c,8,0.00000009,VSETVLI,VSETVLI,0x0d0efed7,OTHER,"SM 1 warp 3 0x8000000c           VSETVLI_0x0d0efed7 WB x[029]=0x00000020 @265ns,1 [trace regfile.cpp:87]"
0x80000010,8,0.00000009,LUI,LUI,0x00002eb7,OTHER,"SM 1 warp 3 0x80000010               LUI_0x00002eb7 WB x[029]=0x00002000 @325ns,1 [trace regfile.cpp:87]"
0x80000014,16,0.00000018,CSRRS,CSRRS,0x300eaef3,CSR,"SM 1 warp 2 0x80000014             CSRRS_0x300eaef3 CSR[0x300]=0x3800 @365ns,1 [trace exec_csr.cpp:93]"
0x80000018,8,0.00000009,ADDI,ADDI,0x00000e93,OTHER,"SM 1 warp 3 0x80000018              ADDI_0x00000e93 WB x[029]=0x00000000 @445ns,1 [trace regfile.cpp:87]"
0x8000001c,16,0.00000018,CSRRS,CSRRS,0x80502373,CSR,"SM 1 warp 2 0x8000001c             CSRRS_0x80502373 CSR[0x805]=0x1 @465ns,1 [trace exec_csr.cpp:93]"
0x80000020,16,0.00000018,CSRRS,CSRRS,0x806023f3,CSR,"SM 1 warp 2 0x80000020             CSRRS_0x806023f3 CSR[0x806]=0x70000000 @505ns,1 [trace exec_csr.cpp:93]"
0x80000024,8,0.00000009,ADDI,ADDI,0x40000e13,OTHER,"SM 1 warp 3 0x80000024              ADDI_0x40000e13 WB x[028]=0x00000400 @565ns,1 [trace regfile.cpp:87]"
0x80000028,8,0.00000009,MUL,MUL,0x03c30333,OTHER,"SM 1 warp 3 0x80000028               MUL_0x03c30333 WB x[006]=0x00000800 @665ns,1 [trace regfile.cpp:87]"
0x8000002c,8,0.00000009,ADD,ADD,0x00730133,OTHER,"SM 1 warp 3 0x8000002c               ADD_0x00730133 WB x[002]=0x70000800 @725ns,1 [trace regfile.cpp:87]"
0x80000030,8,0.00000009,ADDI,ADDI,0x00000213,OTHER,"SM 1 warp 3 0x80000030              ADDI_0x00000213 WB x[004]=0x00000000 @765ns,1 [trace regfile.cpp:87]"
0x80000034,16,0.00000018,CSRRS,CSRRS,0x80102f73,CSR,"SM 1 warp 2 0x80000034             CSRRS_0x80102f73 CSR[0x801]=0x8 @785ns,1 [trace exec_csr.cpp:93]"
0x80000038,8,0.00000009,ADDI,ADDI,0x40000e13,OTHER,"SM 1 warp 2 0x80000038              ADDI_0x40000e13 WB x[028]=0x00000400 @895ns,1 [trace regfile.cpp:87]"
0x8000003c,8,0.00000009,MUL,MUL,0x03cf0f33,OTHER,"SM 1 warp 2 0x8000003c               MUL_0x03cf0f33 WB x[030]=0x00002000 @975ns,1 [trace regfile.cpp:87]"
0x80000040,8,0.00000009,ADD,ADD,0x01e38433,OTHER,"SM 1 warp 2 0x80000040               ADD_0x01e38433 WB x[008]=0x70002000 @1035ns,1 [trace regfile.cpp:87]"
0x80000044,8,0.00000009,AUIPC,AUIPC,0x00003517,OTHER,"SM 1 warp 2 0x80000044             AUIPC_0x00003517 WB x[010]=0x80003044 @1055ns,1 [trace regfile.cpp:87]"
0x80000048,8,0.00000009,ADDI,ADDI,0xfc850513,OTHER,"SM 1 warp 2 0x80000048              ADDI_0xfc850513 WB x[010]=0x8000300c @1115ns,1 [trace regfile.cpp:87]"
0x8000004c,8,0.00000009,AUIPC,AUIPC,0x00003617,OTHER,"SM 1 warp 2 0x8000004c             AUIPC_0x00003617 WB x[012]=0x8000304c @1195ns,1 [trace regfile.cpp:87]"
0x80000050,8,0.00000009,ADDI,ADDI,0xfc060613,OTHER,"SM 1 warp 2 0x80000050              ADDI_0xfc060613 WB x[012]=0x8000300c @1275ns,1 [trace regfile.cpp:87]"
0x80000054,8,0.00000009,BEQ,BEQ,0x00c50863,BR,"SM 1 warp 2 0x80000054               BEQ_0x00c50863 mask=FFFFFFFF, JUMP=true, jumpTO 0x80000064 @1345ns,1 [trace exec_salu.cpp:339]"
