warp,time_ns,pc,inst,prev_pc,prev_inst,next_pc,next_inst,next_time_ns
3,50655,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,50675
3,50795,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,50805
2,51055,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,51075
2,51195,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,51205
7,52685,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,52705
7,52825,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,52835
4,54955,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,54975
4,55095,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,55105
5,55995,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,56015
5,56135,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,56145
1,57475,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,57495
1,57615,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,57625
6,58435,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,58465
6,58585,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,58595
0,59485,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,59505
0,59625,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,59635
6,28281405,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,28281415
3,28281415,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,28281425
0,28281415,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281425
1,28281395,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,28281435
4,28281435,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281445
5,28281435,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,28281455
7,28281445,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281455
6,28281525,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281535
3,28281535,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281545
2,28281545,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281555
1,28281555,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281565
5,28281575,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,28281585
6,54991275,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,54991285
5,54991285,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,54991295
0,54991285,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991295
3,54991265,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,54991305
4,54991305,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991315
7,54991305,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,54991325
1,54991315,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991325
6,54991395,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991405
5,54991405,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991415
2,54991415,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991425
3,54991425,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991435
7,54991445,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,54991455
6,81936885,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,81936895
5,81936895,0x800001b4,REGEXT_0x0010200b,0x80000188,JAL_0x0040006f,0x80000188,JAL_0x0040006f,81936905
0,81936895,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,81936905
3,81936875,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,81936915
4,81936915,0x800001b4,REGEXT_0x0010200b,0x8000018c,VADD_VV_0x02500357,0x800001b8,VMV_V_X_0x5e024057,81936925
7,81936915,0x800001b4,REGEXT_0x0010200b,0x80000184,BGE_0x02905e63,0x80000188,JAL_0x0040006f,81936935
