opcode,category,count_A,count_B,delta_count,time_ns_A,time_ns_B,delta_time_ns,share_A,share_B,delta_share,p95_gap_ns_A,p95_gap_ns_B,max_gap_ns_A,max_gap_ns_B
LW,mem,800,2176,1376,379730,2758770,2379040,0.13564643978552623,0.3964758279045102,0.26082938811898393,4096,8192,8930,30760
VSW12_V,mem,160,160,0,202420,575240,372820,0.07230809349112849,0.08267044923780904,0.010362355746680554,8192,32768,8950,53930
REGEXT,other,92,1802,1710,1620,352310,350690,0.0005786933675310154,0.05063212914778615,0.05005343578025513,64,32,40,13270
SW,mem,104,480,376,21420,284590,263170,0.007651612304021204,0.040899769050462546,0.03324815674644134,2048,4096,2010,20790
ADDI,addr,1296,2400,1104,148390,340350,191960,0.0530075980295848,0.04891330122746733,-0.004094296802117474,128,128,8530,15590
CSRRS,other,144,704,560,13910,163540,149630,0.004968904161948411,0.02350310351914208,0.01853419935719367,128,128,3280,16710
JOIN,other,304,416,112,398320,508280,109960,0.1422871247870087,0.07304731231936858,-0.06923981246764012,8192,16384,18610,14790
VAND_VV,other,160,160,0,222180,327200,105020,0.07936672370249445,0.047023452803370974,-0.03234327089912348,4096,8192,14560,6380
VADD_VX,compute,1296,1504,208,91530,164980,73450,0.03269617526550237,0.023710052700183813,-0.008986122565318558,128,64,10110,14400
ENDPRG,other,8,32,24,0,46970,46970,0.0,0.006750279884395888,0.006750279884395888,0,8192,0,5810
VLW_V,mem,40,1504,1464,7960,54290,46330,0.0028434562997202983,0.007802271554691351,0.004958815254971053,2048,64,2170,1770
JAL,control,2784,3776,992,154180,191110,36930,0.055075890991316025,0.02746531804783688,-0.027610572943479145,128,128,150,150
VMV_V_X,other,1744,2368,624,93650,123340,29690,0.03345347769708617,0.01772577221506044,-0.01572770548202573,128,128,2680,16960
SETRPC,control,2688,3200,512,115940,130490,14550,0.04141586977255922,0.018753332384816253,-0.022662537387742966,128,128,130,110
JALR,other,96,640,544,2350,15950,13600,0.000839462601048078,0.002292249609455278,0.0014527870084072,128,128,90,110
VSLL_VI,other,192,480,288,18220,30350,12130,0.0065085142940833965,0.004361741419872583,-0.002146772874210814,128,128,1320,2250
VBEQ,control,2368,2816,448,57810,68810,11000,0.020650779985782717,0.009889009130195466,-0.01076177085558725,64,64,70,80
VSW_V,mem,24,288,264,1090,9850,8760,0.00038936775963506595,0.001415589884209059,0.0010262221245739929,128,64,80,350
VREMU_VX,other,16,64,48,3760,10180,6420,0.0013431401616769247,0.0014630157381977887,0.00011987557652086401,2048,512,1520,2040
MUL,addr,24,96,72,3280,7750,4470,0.0011716754601862535,0.0011137889951898688,-5.788646499638476e-05,128,128,1410,110
VID_V,other,16,64,48,1530,5800,4270,0.0005465437360015146,0.0008335453125291921,0.00028700157652767743,128,128,120,120
ADD,addr,16,64,48,800,3200,2400,0.0002857745024844521,0.0004598870689816232,0.00017411256649717114,128,128,100,100
BEQ,control,8,32,24,570,2280,1710,0.0002036143330201721,0.00032766953664940655,0.00012405520362923444,128,128,80,80
VBNE,control,80,192,112,3890,5560,1670,0.0013895785183306482,0.0007990537823555703,-0.0005905247359750779,128,128,110,90
VSETVLI,other,8,32,24,360,1440,1080,0.00012859852611800344,0.00020694918104173044,7.835065492372699e-05,64,64,60,60
VDIVU_VX,other,8,32,24,320,1310,990,0.00011430980099378083,0.000188266268864352,7.395646787057118e-05,64,64,50,60
VMADD_VX,compute,64,96,32,5180,5600,420,0.0018503899035868271,0.0008048023707178406,-0.0010455875328689865,128,128,90,90
CSRRW,other,16,64,48,80,390,310,2.8577450248445208e-05,5.6048736532135326e-05,2.747128628369012e-05,16,16,10,20
VMUL_VX,compute,32,32,0,1150,1290,140,0.00041080084732139985,0.00018539197468321684,-0.000225408872638183,64,64,50,50
LUI,addr,200,224,24,7220,7290,70,0.00257911488492218,0.0010476802290237603,-0.00153143465589842,64,64,1040,1290
BGE,other,56,32,-24,2250,1260,-990,0.0008037407882375215,0.00018108053341151414,-0.0006226602548260074,64,64,70,50
VBLT,other,240,192,-48,8920,7080,-1840,0.0031863857027016407,0.0010175001401218414,-0.0021688855625797993,256,128,150,160
VADD_VI,compute,1024,1024,0,28240,25600,-2640,0.01008783993770116,0.003679096551852986,-0.0064087433858481735,128,64,120,40
VFMADD_VV,compute,1024,1024,0,28000,23120,-4880,0.010002107586955822,0.0033226840733922274,-0.006679423513563595,64,64,90,40
AUIPC,addr,1392,1792,400,52790,46130,-6660,0.01885754498269278,0.006629559528788212,-0.01222798545390457,64,128,390,1800
VADD12_VI,compute,1136,1088,-48,26640,19040,-7600,0.009516290932732254,0.0027363280604406582,-0.006779962872291596,64,64,100,70
VADD_VV,compute,1320,1410,90,242020,224820,-17200,0.08645393136410887,0.032309940890140165,-0.0541439904739687,128,128,9360,11930
VMSLT_VX,other,320,320,0,254660,236990,-17670,0.09096916850336322,0.034058948899360904,-0.05691021960400231,4096,8192,17940,13560
VLW12_V,mem,4352,4352,0,197030,175680,-21350,0.0703826877806395,0.025247800087091113,-0.045134887693548384,256,128,160,1700
