pc,opcode,category,count_A,count_B,delta_count,time_ns_A,time_ns_B,delta_time_ns
0x80000294,VSW12_V,mem,0,64,64,0,569210,569210
0x80000290,JOIN,other,0,64,64,0,429380,429380
0x800000dc,LW,mem,16,64,48,24610,403280,378670
0x800000c8,REGEXT,other,16,96,80,400,305840,305440
0x800000fc,LW,mem,16,64,48,21560,302350,280790
0x80000104,LW,mem,0,64,64,0,262840,262840
0x800000f4,LW,mem,16,64,48,28780,277910,249130
0x80000088,SW,mem,8,32,24,14620,258400,243780
0x80000250,VMSLT_VX,other,0,64,64,0,219190,219190
0x80000220,VAND_VV,other,0,64,64,0,197990,197990
0x800000e4,LW,mem,16,64,48,28000,224190,196190
0x80000068,LW,mem,16,64,48,23930,216350,192420
0x800000ec,LW,mem,16,64,48,27760,193380,165620
0x8000006c,LW,mem,16,64,48,21450,184110,162660
0x80000070,LW,mem,16,64,48,11990,150130,138140
0x80000268,VAND_VV,other,0,64,64,0,128890,128890
0x800002d4,VLW12_V,mem,0,2048,2048,0,117820,117820
0x800002f8,JAL,control,0,1920,1920,0,115200,115200
0x80000488,LW,mem,0,64,64,0,97100,97100
0x80000498,LW,mem,0,64,64,0,96480,96480
0x80000064,CSRRS,other,16,64,48,8970,104940,95970
0x800002e0,ADDI,addr,0,1024,1024,0,94720,94720
0x80000458,LW,mem,0,64,64,0,93500,93500
0x800001d4,VADD_VV,compute,0,32,32,0,90830,90830
0x8000049c,LW,mem,0,64,64,0,87990,87990
0x800002f0,SETRPC,control,0,2048,2048,0,84000,84000
0x80000084,ADDI,addr,8,32,24,9940,89110,79170
0x8000047c,ADDI,addr,0,32,32,0,57870,57870
0x800000cc,VMV_V_X,other,16,96,80,5610,61300,55690
0x80000494,VADD_VX,compute,0,32,32,0,53360,53360
0x800002c8,VADD_VX,compute,0,1024,1024,0,53200,53200
0x800002f4,VBEQ,control,0,2048,2048,0,51680,51680
0x80000468,LW,mem,0,64,64,0,51200,51200
0x800002cc,VADD_VV,compute,0,1024,1024,0,48640,48640
0x800000a0,ENDPRG,other,0,16,16,0,46970,46970
0x80000184,VADD_VV,compute,0,32,32,0,45730,45730
0x800002d0,VLW12_V,mem,0,2048,2048,0,43460,43460
0x8000031c,VLW_V,mem,0,1120,1120,0,38840,38840
0x80000180,LW,mem,0,64,64,0,35270,35270
0x80000484,CSRRS,other,0,64,64,0,35250,35250
0x80000464,VADD_VX,compute,0,32,32,0,32600,32600
0x80000418,JOIN,other,0,64,64,0,30920,30920
0x80000318,REGEXT,other,0,1056,1056,0,28480,28480
0x800002dc,VADD_VI,compute,0,1024,1024,0,25600,25600
0x800002d8,VFMADD_VV,compute,0,1024,1024,0,23120,23120
0x80000074,LW,mem,16,64,48,4260,27250,22990
0x80000178,VADD_VV,compute,0,66,66,0,19610,19610
0x800002e8,VADD12_VI,compute,0,1024,1024,0,15360,15360
0x80000240,VADD_VX,compute,0,64,64,0,14820,14820
0x800004c4,JOIN,other,0,32,32,0,14740,14740
0x800003a0,JOIN,other,0,64,64,0,14400,14400
0x800002e4,VMV_V_X,other,0,1024,1024,0,12800,12800
0x80000158,VLW_V,mem,0,192,192,0,10700,10700
0x8000021c,LW,mem,0,128,128,0,10510,10510
0x800002ec,AUIPC,addr,0,1024,1024,0,10240,10240
0x80000264,LW,mem,0,128,128,0,10060,10060
0x80000078,AUIPC,addr,8,32,24,1130,10100,8970
0x800002a4,JAL,control,0,128,128,0,8480,8480
0x80000244,VLW12_V,mem,0,128,128,0,8150,8150
0x80000338,ADDI,addr,0,64,64,0,7930,7930
0x8000027c,JAL,control,0,128,128,0,7750,7750
0x8000046c,VREMU_VX,other,0,32,32,0,7240,7240
0x800002a8,JOIN,other,0,64,64,0,7200,7200
0x80000234,JAL,control,0,128,128,0,7070,7070
0x80000474,ADDI,addr,0,32,32,0,7060,7060
0x80000420,ADDI,addr,0,64,64,0,6950,6950
